"sp_taxon_1";"sp_taxon_2";"value"
"Quiscalus quiscula";"Cornus florida";90
"Quiscalus quiscula";"Vitis sp1";72
"Turdus migratorius";"Cornus florida";110
"Turdus migratorius";"Vitis sp1";17
"Turdus migratorius";"Celastrus orbiculatus";3
"Turdus migratorius";"Lindera benzoin";21
"Zonotrichia albicollis";"Cornus florida";13
"Zonotrichia albicollis";"Vitis sp1";4
"Zonotrichia albicollis";"Celastrus orbiculatus";32
"Zonotrichia albicollis";"Rhus radicans";1
"Zonotrichia albicollis";"Lindera benzoin";20
"Zonotrichia albicollis";"Smilax rotundifolia";27
"Zonotrichia albicollis";"Lonicera japonica";24
"Junco hyemalis";"Cornus florida";51
"Junco hyemalis";"Celastrus orbiculatus";28
"Junco hyemalis";"Rhus radicans";10
"Junco hyemalis";"Lonicera japonica";1
"Cardinalis cardinalis";"Cornus florida";2
"Cardinalis cardinalis";"Vitis sp1";10
"Cardinalis cardinalis";"Celastrus orbiculatus";13
"Cardinalis cardinalis";"Lindera benzoin";1
"Cardinalis cardinalis";"Smilax rotundifolia";6
"Cardinalis cardinalis";"Lonicera japonica";2
"Dendroica coronata";"Rhus radicans";25
"Parus atricapillus";"Rhus radicans";16
"Catharus guttata";"Cornus florida";6
"Catharus guttata";"Celastrus orbiculatus";3
"Catharus guttata";"Lindera benzoin";1
"Parus bicolor";"Cornus florida";1
"Parus bicolor";"Vitis sp1";1
"Parus bicolor";"Celastrus orbiculatus";3
"Parus bicolor";"Rhus radicans";3
"Picoides pubescens";"Rhus radicans";8
"Mimus polyglottos";"Cornus florida";1
"Mimus polyglottos";"Celastrus orbiculatus";4
"Mimus polyglottos";"Rhus radicans";1
"Mimus polyglottos";"Smilax rotundifolia";1
"Bombycilla cedrorum";"Celastrus orbiculatus";4
"Melanerpes carolinensis";"Vitis sp1";2
"Melanerpes carolinensis";"Rhus radicans";2
"Picoides villosus";"Rhus radicans";3
"Sturnus vulgaris";"Celastrus orbiculatus";3
"Carpodacus purpureus";"Cornus florida";2
"Colaptes auratus";"Cornus florida";1
"Colaptes auratus";"Rhus radicans";1
"Zenaidura macroura";"Vitis sp1";1
"Zenaidura macroura";"Lindera benzoin";1
"Euphagus carolinus";"Celastrus orbiculatus";1
"Pipilo erythophtalmus";"Cornus florida";1
"Vireo olivaceus";"Cornus florida";1
