"Askew, R.R. (1975).  The organisation of chalcid-dominated parasitoid communities centred upon endophytic hosts. In: P. W. Price, (ed). Evolutionary Strategies of Parasitic Insects and Mites, (Plenum Press, New York), pp 130-153.",,,,,,,,,,,,,,,
Oak galls of A. curvator (Quercus robur) Wytham Wood - UK,Eurytoma brunniventris,Eupelmus urozonus,Mesopolobus jucundus,M. fasciiventris,M. fuscipes,M. (sturovia) albitarsus,M. tibialis,M. amaenus,Torymus auratus,T. cynipedis,Synergus nervosus,S. gallae-pomiformis,Olynx arsames,Syntomaspis notata,Andricus curvator
Eurytoma brunniventris,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Synergus nervosus,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
S. gallae-pomiformis,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Olynx arsames,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Syntomaspis notata,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Andricus curvator,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
gall tissue (Q. robur),1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
