"R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ",,,,,,,,,,,,,,,,,,,,,,,,,,
Stream fauna - Dee River - Wales,Herpodbella octoculata,Ancylastrum fluviatile,Gammarus pulex,Perla carlukiana nymphs,Baetis spp. nymphs,Ecdyonurus venosus nymphs,Rhithrogena semicolorata nymphs,Ephemerella ignita nymphs,Micronecta poweri nymphs,Glossosoma boltoni larvae,Chimarrha marginata larvae,Notidobia larvae,Stenophylax stellatus,Hydropsyche larvae,Rhyacophila dorsalis larvae,Polycentropus flavomaculatus larvae,Helmid larvae,chironomid larvae,Simulium larvae,Salmo salar fry (0.3-5 cm),Phoxinus phoxinus (2.0-2.9 mm),Leuctra nymphs,Plectoptera (indeterm.),other ephemeropteran nymphs,Entomostraca (unspec.),adult helmids
Baetis spp. nymphs,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
Micronecta poweri nymphs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chimarrha marginata larvae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hydropsyche larvae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rhyacophila dorsalis larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chironomid larvae,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
Simulium larvae,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
diatoms (mostly Cocconeis) & desmids,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,-1,0
other encrusting algae,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,0
filamentous algae,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,-1,0
pulverized masses,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0
plant tissue & detritus,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,-1,1
protozoa (unspecified),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,-1,0
Leuctra nymphs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Plectoptera (indeterm.),0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
other ephemeropteran nymphs,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
adult Diptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Entomostraca (unspec.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Collembola (unspec.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
adult helmids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
