name,bold,eol,tsn,ncbi
Frontopsylla ornata,NA,52458536,NA,NA
Frontopsylla protera,NA,52458537,NA,NA
Frontopsylla semura,NA,52458507,NA,NA
Frontopsylla wagneri,750981,NA,NA,1658128
Hystrichopsylla microti,NA,52460912,NA,NA
Hystrichopsylla orientalis,NA,52460919,NA,NA
Hystrichopsylla satunini,NA,52460924,NA,NA
Hystrichopsylla talpae,NA,52460933,NA,140718
Lagurus lagurus,123899,46593637,632849,175522
Lasiopodomys brandtii,90504,51381093,632850,407171
Lemmus sibiricus,162009,55937520,180320,84769
Leptopsylla nana,715891,52458554,NA,1530109
Leptopsylla segnis,726485,52458557,NA,360617
Leptopsylla sicistae,NA,52458559,NA,NA
Leptopsylla taschenbergi,715892,52458561,NA,1658320
Marmota baibacina,796314,57453923,NA,93157
Marmota bobak,NA,56386253,NA,93158
Marmota caudata,112234,57453921,NA,71802
Marmota sibirica,254919,57453938,NA,93166
Megabothris advenarius,NA,NA,NA,NA
Megabothris asio,126390,52459609,NA,1771395
Megabothris beljaevi,NA,52459610,NA,NA
Megabothris bispinosa,NA,52459611,NA,NA
Megabothris calcarifer,NA,52459612,NA,173805
Megabothris rectangulatus,NA,52459601,NA,NA
Megabothris turbidus,NA,52459602,NA,506912
Megabothris walkeri,715968,52459615,NA,1530110
Meriones libycus,159679,51379889,632980,298886
Meriones meridianus,142635,46595141,632981,261754
Meriones persicus,159677,52571344,632982,1395794
Meriones tamariscinus,142634,46595146,632986,504099
Meriones tristrami,159680,57454120,632987,723805
Meriones unguiculatus,142630,55939054,632988,10047
Meriones vinogradovi,159678,52571351,632989,1920703
Mesocricetus brandti,NA,46594962,632736,10037
Mesocricetus raddei,NA,46594964,632738,329621
Mesopsylla apscheronica,NA,52458696,NA,NA
Mesopsylla eucta,NA,52458701,NA,2014825
Mesopsylla hebes,750982,52458707,NA,1414841
Mesopsylla lenis,716003,52458708,NA,1658324
Mesopsylla tuschkan,NA,52458710,NA,NA
Micromys minutus,142627,51380234,585369,13151
Microtus agrestis,53185,55937473,632855,29092
Microtus arvalis,29505,51380936,632856,47230
Microtus evoronensis,NA,51381015,632861,798060
Microtus fortis,73313,51380963,632863,100897
Microtus gregalis,90512,52571370,180302,1449541
Microtus juldaschi,NA,52571407,NA,465453
Microtus kirgisorum,NA,51380957,NA,98236
Microtus majori,228721,46593588,632876,269657
Microtus maximowiczii,90511,57455289,632877,470139
Microtus middendorffi,NA,52571415,632878,100900
Microtus oeconomus,90520,51380937,180298,64717
Microtus socialis,90506,46593604,632892,269658
Microtus subterraneus,29504,57455266,632893,137712
Microtus tatricus,NA,46593606,632894,137713
Microtus transcaspicus,142637,46593608,632896,155716
Muscardinus avellanarius,159784,51379476,584974,39082
Myopus schisticolor,110920,46593697,632898,71003
Myospalax aspalax,708205,51380778,632743,213498
Myospalax myospalax,NA,52571742,632746,146128
Myoxopsylla jordani,NA,52459625,NA,NA
Myoxus glis,NA,51379479,NA,41261
Neomys anomalus,124106,57448263,633775,52814
Neomys fodiens,29508,55944078,633776,62282
Neomys schelkovnikovi,NA,NA,NA,NA
Neopsylla abagaitui,716126,52461094,NA,129376
Neopsylla acanthina,NA,52461095,NA,184254
Neopsylla bidentatiformis,NA,52461104,NA,129377
Neopsylla democratica,NA,52461112,NA,NA
Neopsylla galea,NA,52461117,NA,NA
Neopsylla mana,716128,52461127,NA,129379
Neopsylla meridiana,NA,52461130,NA,NA
Neopsylla pleskei,NA,52461135,NA,129380
Neopsylla setosa,NA,NA,NA,NA
Neopsylla teratura,NA,52461164,NA,129383
Nesokia indica,371278,46594173,585422,51373
Nosopsyllus aralis,NA,NA,NA,NA
Nosopsyllus consimilis,NA,52459256,NA,NA
Nosopsyllus fasciatus,NA,46459553,189345,1038824
Nosopsyllus fidus,NA,52459265,NA,NA
Nosopsyllus iranus,NA,51206887,NA,507075
Nosopsyllus laeviceps,750965,52459230,NA,507077
Nosopsyllus mokrzeckyi,NA,52459272,NA,NA
