"taxa";"name_clear"
"Microtus arvalis";"Microtus arvalis"
"Apodemus sylvaticus";"Apodemus sylvaticus"
"Apodemus mystacinus";"Apodemus mystacinus"
"Microtus majori";"Microtus majori"
"Sorex araneus";"Sorex araneus"
"Prometheomys schaposchnikowi";"Prometheomys schaposchnikowi"
"Cricetulus migratorius";"Cricetulus migratorius"
"Chionomys nivalis";"Chionomys nivalis"
"Dryomys nitedula";"Dryomys nitedula"
"Myoxus glis";"Myoxus glis"
"Ctenophthalmus proximus";"Ctenophthalmus proximus"
"Ctenophthalmus hypanis";"Ctenophthalmus hypanis"
"Ctenophthalmus inornatus";"Ctenophthalmus inornatus"
"Megabothris turbidus";"Megabothris turbidus"
"Ctenophthalmus shovi";"Ctenophthalmus shovi"
"Amphipsylla rossica";"Amphipsylla rossica"
"Myoxopsylla jordani";"Myoxopsylla jordani"
"Nosopsyllus fasciatus";"Nosopsyllus fasciatus"
"Leptopsylla segnis";"Leptopsylla segnis"
"Leptopsylla taschenbergi";"Leptopsylla taschenbergi"
"Hystrichopsylla talpae";"Hystrichopsylla talpae"
"Amphipsylla georgica";"Amphipsylla georgica"
"Hystrichopsylla satunini";"Hystrichopsylla satunini"
"Rhadinopsylla integella";"Rhadinopsylla integella"
"Ceratophyllus sciurorum";"Ceratophyllus sciurorum"
"Amalaraeus penicilliger";"Amalaraeus penicilliger"
"Ctenophthalmus euxinicus";"Ctenophthalmus euxinicus"
"Palaeopsylla caucasica";"Palaeopsylla caucasica"
"Arvicola terrestris";"Arvicola terrestris"
"Clethrionomys glareolus";"Clethrionomys glareolus"
"Cricetus cricetus";"Cricetus cricetus"
"Microtus oeconomus";"Microtus oeconomus"
"Microtus gregalis";"Microtus gregalis"
"Neomys fodiens";"Neomys fodiens"
"Spermophilus major";"Spermophilus major"
"Sicista subtilis";"Sicista subtilis"
"Lagurus lagurus";"Lagurus lagurus"
"Spermophilus pygmaeus";"Spermophilus pygmaeus"
"Allocricetulus eversmanni";"Allocricetulus eversmanni"
"Allactaga major";"Allactaga major"
"Apodemus uralensis";"Apodemus uralensis"
"Marmota bobak";"Marmota bobak"
"Ellobius talpinus";"Ellobius talpinus"
"Megabothris walkeri";"Megabothris walkeri"
"Ctenophthalmus breviatus";"Ctenophthalmus breviatus"
"Citellophilus tesquorum";"Citellophilus tesquorum"
"Ctenophthalmus assimilis";"Ctenophthalmus assimilis"
"Neopsylla pleskei";"Neopsylla pleskei"
"Neopsylla setosa";"Neopsylla setosa"
"Oropsylla silantiewi";"Oropsylla silantiewi"
"Frontopsylla elata";"Frontopsylla elata"
"Stenoponia ivanovi";"Stenoponia ivanovi"
"Amphipsylla sibirica";"Amphipsylla sibirica"
"Mesopsylla hebes";"Mesopsylla hebes"
"Palaeopsylla soricis";"Palaeopsylla soricis"
