"taxa";"name_clear"
"Peromyscopsylla bidentata";"Peromyscopsylla bidentata"
"Amphipsylla kuznetzovi";"Amphipsylla kuznetzovi"
"Amphipsylla prima";"Amphipsylla prima"
"Pectinoctenus pavlovskii";"Pectinoctenus pavlovskii"
"Oropsylla ilovaiskii";"Oropsylla ilovaiskii"
"Corrodopsylla birulai";"Corrodopsylla birulai"
"Amphipsylla dumalis";"Amphipsylla dumalis"
"Frontopsylla elatoides";"Frontopsylla elatoides"
"Clethrionomys rutilus";"Clethrionomys rutilus"
"Sorex minutus";"Sorex minutus"
"Apodemus speciosus";"Apodemus speciosus"
"Apodemus agrarius";"Apodemus agrarius"
"Sorex arcticus";"Sorex arcticus"
"Sorex daphaenodon";"Sorex daphaenodon"
"Micromys minutus";"Micromys minutus"
"Talpa europaea";"Talpa europaea"
"Microtus agrestis";"Microtus agrestis"
"Sorex caecutiens";"Sorex caecutiens"
"Clethrionomys rufocanus";"Clethrionomys rufocanus"
"Sorex isodon";"Sorex isodon"
"Sorex minutissimus";"Sorex minutissimus"
"Tamias sibiricus";"Tamias sibiricus"
"Neopsylla mana";"Neopsylla mana"
"Megabothris rectangulatus";"Megabothris rectangulatus"
"Ceratophyllus indages";"Ceratophyllus indages"
"Apodemus peninsulae";"Apodemus peninsulae"
"Microtus maximowiczii";"Microtus maximowiczii"
"Sciurus vulgaris";"Sciurus vulgaris"
"Megabothris advenarius";"Megabothris advenarius"
"Amphipsylla marikovskii";"Amphipsylla marikovskii"
"Catallagia dacenkoi";"Catallagia dacenkoi"
"Catallagia ioffi";"Catallagia ioffi"
"Amalaraeus ioffi";"Amalaraeus ioffi"
"Catallagia striata";"Catallagia striata"
"Hystrichopsylla microti";"Hystrichopsylla microti"
"Neopsylla acanthina";"Neopsylla acanthina"
"Peromyscopsylla silvatica";"Peromyscopsylla silvatica"
"Ctenophthalmus pisticus";"Ctenophthalmus pisticus"
"Stenoponia montana";"Stenoponia montana"
"Ctenophthalmus congeneroides";"Ctenophthalmus congeneroides"
"Tarsopsylla octodecimdentata";"Tarsopsylla octodecimdentata"
"Ctenophyllus armatus";"Ctenophyllus armatus"
"Megabothris bispinosa";"Megabothris bispinosa"
"Ceratophyllus anisus";"Ceratophyllus anisus"
"Microtus evoronensis";"Microtus evoronensis"
"Myopus schisticolor";"Myopus schisticolor"
"Pectinoctenus pectiniceps";"Pectinoctenus pectiniceps"
"Amalaraeus dissimilis";"Amalaraeus dissimilis"
"Megabothris asio";"Megabothris asio"
"Rhadinopsylla pseudodahurica";"Rhadinopsylla pseudodahurica"
"Spermophilus xanthoprymnus";"Spermophilus xanthoprymnus"
"Mesocricetus brandti";"Mesocricetus brandti"
"Microtus socialis";"Microtus socialis"
"Meriones vinogradovi";"Meriones vinogradovi"
"Meriones persicus";"Meriones persicus"
"Meriones tristrami";"Meriones tristrami"
"Apodemus flavicollis";"Apodemus flavicollis"
"Allactaga elater";"Allactaga elater"
"Crocidura suaveolens";"Crocidura suaveolens"
"Neomys schelkovnikovi";"Neomys schelkovnikovi"
"Sciurus anomalus";"Sciurus anomalus"
"Xenopsylla cheopis";"Xenopsylla cheopis"
"Citellophilus transcaucasicus";"Citellophilus transcaucasicus"
"Amphipsylla schelkovnikovi";"Amphipsylla schelkovnikovi"
"Nosopsyllus iranus";"Nosopsyllus iranus"
"Nosopsyllus consimilis";"Nosopsyllus consimilis"
"Ctenophthalmus teres";"Ctenophthalmus teres"
"Ctenophthalmus acuminatus";"Ctenophthalmus acuminatus"
"Wagnerina schelkovnikovi";"Wagnerina schelkovnikovi"
"Ctenophthalmus secundus";"Ctenophthalmus secundus"
"Nosopsyllus mokrzeckyi";"Nosopsyllus mokrzeckyi"
"Callopsylla saxatilis";"Callopsylla saxatilis"
"Ctenophthalmus bogatschevi";"Ctenophthalmus bogatschevi"
"Callopsylla caspia";"Callopsylla caspia"
"Stenoponia tripectinata";"Stenoponia tripectinata"
"Xenopsylla conformis";"Xenopsylla conformis"
"Mesopsylla tuschkan";"Mesopsylla tuschkan"
"Rhadinopsylla cedestis";"Rhadinopsylla cedestis"
"Ctenophthalmus golovi";"Ctenophthalmus golovi"
"Ophthalmopsylla volgensis";"Ophthalmopsylla volgensis"
"Paradoxopsyllus hesperius";"Paradoxopsyllus hesperius"
"Mesopsylla apscheronica";"Mesopsylla apscheronica"
"Rhadinopsylla ucrainica";"Rhadinopsylla ucrainica"
"Spermophilus undulatus";"Spermophilus undulatus"
"Amphipsylla primaris";"Amphipsylla primaris"
"Frontopsylla luculenta";"Frontopsylla luculenta"
"Megabothris calcarifer";"Megabothris calcarifer"
"Oropsylla alaskensis";"Oropsylla alaskensis"
"Ceratophyllus paradoxus";"Ceratophyllus paradoxus"
"Rhadinopsylla dahurica";"Rhadinopsylla dahurica"
"Marmota caudata";"Marmota caudata"
"Spermophilus fulvus";"Spermophilus fulvus"
"Ellobius tancrei";"Ellobius tancrei"
"Alticola argentatus";"Alticola argentatus"
"Microtus juldaschi";"Microtus juldaschi"
"Citellophilus lebedewi";"Citellophilus lebedewi"
"Pectinoctenus nemorosa";"Pectinoctenus nemorosa"
"Ctenophthalmus dux";"Ctenophthalmus dux"
"Leptopsylla nana";"Leptopsylla nana"
"Frontopsylla protera";"Frontopsylla protera"
"Amphipsylla phaiomydis";"Amphipsylla phaiomydis"
"Ophthalmopsylla praefecta";"Ophthalmopsylla praefecta"
"Ctenophthalmus dilatatus";"Ctenophthalmus dilatatus"
"Rhadinopsylla li";"Rhadinopsylla li"
"Clethrionomys centralis";"Clethrionomys centralis"
"Sicista tianshanica";"Sicista tianshanica"
"Spermophilus erythrogenys";"Spermophilus erythrogenys"
"Marmota baibacina";"Marmota baibacina"
"Neopsylla teratura";"Neopsylla teratura"
"Ctenophthalmus arvalis";"Ctenophthalmus arvalis"
"Frontopsylla ornata";"Frontopsylla ornata"
"Rhadinopsylla angusta";"Rhadinopsylla angusta"
"Rhombomys opimus";"Rhombomys opimus"
"Stylodipus telum";"Stylodipus telum"
"Meriones tamariscinus";"Meriones tamariscinus"
"Meriones meridianus";"Meriones meridianus"
"Dipus sagitta";"Dipus sagitta"
"Allactaga sibirica";"Allactaga sibirica"
"Pygeretmus shitkovi";"Pygeretmus shitkovi"
"Pygeretmus pumilio";"Pygeretmus pumilio"
"Allactaga severtzovi";"Allactaga severtzovi"
"Xenopsylla skrjabini";"Xenopsylla skrjabini"
"Xenopsylla hirtipes";"Xenopsylla hirtipes"
"Xenopsylla gerbilli";"Xenopsylla gerbilli"
"Nosopsyllus laeviceps";"Nosopsyllus laeviceps"
"Mesopsylla lenis";"Mesopsylla lenis"
"Coptopsylla lamellifer";"Coptopsylla lamellifer"
"Echidnophaga oschanini";"Echidnophaga oschanini"
"Mesopsylla eucta";"Mesopsylla eucta"
"Xenopsylla magdalinae";"Xenopsylla magdalinae"
"Ctenophthalmus dolichus";"Ctenophthalmus dolichus"
"Nosopsyllus tersus";"Nosopsyllus tersus"
"Nosopsyllus fidus";"Nosopsyllus fidus"
"Citellophilus ullus";"Citellophilus ullus"
"Rhadinopsylla socia";"Rhadinopsylla socia"
"Rhadinopsylla bivirgis";"Rhadinopsylla bivirgis"
"Citellophilus trispinus";"Citellophilus trispinus"
"Paradoxopsyllus repandus";"Paradoxopsyllus repandus"
"Amphipsylla anceps";"Amphipsylla anceps"
"Neopsylla meridiana";"Neopsylla meridiana"
"Amphipsylla montana";"Amphipsylla montana"
"Paraneopsylla ioffi";"Paraneopsylla ioffi"
"Pectinoctenus pamirensis";"Pectinoctenus pamirensis"
"Paradoxopsyllus naryni";"Paradoxopsyllus naryni"
"Rattus turkestanicus";"Rattus turkestanicus"
"Ceratophyllus sinicus";"Ceratophyllus sinicus"
"Frontopsylla ambigua";"Frontopsylla ambigua"
"Nosopsyllus simla";"Nosopsyllus simla"
"Callopsylla lagomys";"Callopsylla lagomys"
"Rhadinopsylla altifrons";"Rhadinopsylla altifrons"
"Frontopsylla semura";"Frontopsylla semura"
"Amphipsylla kalabukhovi";"Amphipsylla kalabukhovi"
"Stenoponia conspecta";"Stenoponia conspecta"
"Chionomys gud";"Chionomys gud"
"Mesocricetus raddei";"Mesocricetus raddei"
"Ctenophthalmus wagneri";"Ctenophthalmus wagneri"
"Ctenophthalmus orientalis";"Ctenophthalmus orientalis"
"Ctenophthalmus chionomydis";"Ctenophthalmus chionomydis"
"Peromyscopsylla ostsibirica";"Peromyscopsylla ostsibirica"
"Microtus fortis";"Microtus fortis"
"Neopsylla bidentatiformis";"Neopsylla bidentatiformis"
"Stenoponia sidimi";"Stenoponia sidimi"
"Rhadinopsylla insolita";"Rhadinopsylla insolita"
"Ctenophthalmus uncinatus";"Ctenophthalmus uncinatus"
"Doratopsylla dasycnema";"Doratopsylla dasycnema"
"Ctenophthalmus bisoctodentatus";"Ctenophthalmus bisoctodentatus"
"Ctenophthalmus agyrtes";"Ctenophthalmus agyrtes"
"Palaeopsylla kohauti";"Palaeopsylla kohauti"
"Sicista betulina";"Sicista betulina"
"Sorex tundrensis";"Sorex tundrensis"
"Lasiopodomys brandtii";"Lasiopodomys brandtii"
"Marmota sibirica";"Marmota sibirica"
"Phodopus sungorus";"Phodopus sungorus"
"Frontopsylla hetera";"Frontopsylla hetera"
"Rhadinopsylla rothschildi";"Rhadinopsylla rothschildi"
"Paradoxopsyllus scorodumovi";"Paradoxopsyllus scorodumovi"
"Ctenophyllus hirticrus";"Ctenophyllus hirticrus"
"Paramonopsyllus scalonae";"Paramonopsyllus scalonae"
"Alticola semicanus";"Alticola semicanus"
"Allocricetulus curtatus";"Allocricetulus curtatus"
"Eolagurus przewalskii";"Eolagurus przewalskii"
"Cricetulus barabensis";"Cricetulus barabensis"
"Meriones unguiculatus";"Meriones unguiculatus"
"Paradoxopsyllus dashidorzhii";"Paradoxopsyllus dashidorzhii"
"Amphipsylla vinogradovi";"Amphipsylla vinogradovi"
"Neopsylla abagaitui";"Neopsylla abagaitui"
"Frontopsylla wagneri";"Frontopsylla wagneri"
"Ophthalmopsylla kiritschenkovi";"Ophthalmopsylla kiritschenkovi"
"Amphipsylla longispina";"Amphipsylla longispina"
"Neopsylla galea";"Neopsylla galea"
"Amphalius runatus";"Amphalius runatus"
"Paradoxopsyllus kalabukhovi";"Paradoxopsyllus kalabukhovi"
"Wagnerina longicauda";"Wagnerina longicauda"
"Paradoxopsyllus integer";"Paradoxopsyllus integer"
"Rhadinopsylla altaica";"Rhadinopsylla altaica"
"Meriones libycus";"Meriones libycus"
"Spermophilopsis leptodactylus";"Spermophilopsis leptodactylus"
"Diplomesodon pulchellum";"Diplomesodon pulchellum"
"Eremodipus lichtensteini";"Eremodipus lichtensteini"
"Nosopsyllus turkmenicus";"Nosopsyllus turkmenicus"
"Stenoponia vlasovi";"Stenoponia vlasovi"
"Nosopsyllus aralis";"Nosopsyllus aralis"
"Rostropsylla daca";"Rostropsylla daca"
"Desertopsylla rothschildi";"Desertopsylla rothschildi"
"Frontopsylla macrophthalma";"Frontopsylla macrophthalma"
"Synosternus longispinus";"Synosternus longispinus"
"Ctenophthalmus wladimiri";"Ctenophthalmus wladimiri"
"Microtus kirgisorum";"Microtus kirgisorum"
"Amphipsylla asiatica";"Amphipsylla asiatica"
"Alticola macrotis";"Alticola macrotis"
"Lemmus sibiricus";"Lemmus sibiricus"
"Sorex roboratus";"Sorex roboratus"
"Sorex cinereus";"Sorex cinereus"
"Spermophilus parryii";"Spermophilus parryii"
"Megabothris beljaevi";"Megabothris beljaevi"
"Phodopus campbelli";"Phodopus campbelli"
"Myospalax aspalax";"Myospalax aspalax"
"Pteromys volans";"Pteromys volans"
"Leptopsylla sicistae";"Leptopsylla sicistae"
"Alticola strelzowi";"Alticola strelzowi"
"Microtus subterraneus";"Microtus subterraneus"
"Sorex alpinus";"Sorex alpinus"
"Neomys anomalus";"Neomys anomalus"
"Muscardinus avellanarius";"Muscardinus avellanarius"
"Microtus tatricus";"Microtus tatricus"
"Ctenophthalmus solutus";"Ctenophthalmus solutus"
"Amalaraeus arvicolae";"Amalaraeus arvicolae"
"Ctenophthalmus congener";"Ctenophthalmus congener"
"Hystrichopsylla orientalis";"Hystrichopsylla orientalis"
"Ctenophthalmus obtusus";"Ctenophthalmus obtusus"
"Peromyscopsylla fallax";"Peromyscopsylla fallax"
"Atyphloceras nuperus";"Atyphloceras nuperus"
"Rhadinopsylla pentacantha";"Rhadinopsylla pentacantha"
"Ctenophthalmus nobilis";"Ctenophthalmus nobilis"
"Crocidura leucodon";"Crocidura leucodon"
"Rhadinopsylla isacantha";"Rhadinopsylla isacantha"
"Apodemus fulvipectus";"Apodemus fulvipectus"
"Paradoxopsyllus teretifrons";"Paradoxopsyllus teretifrons"
"Pectinoctenus lauta";"Pectinoctenus lauta"
"Microtus middendorffi";"Microtus middendorffi"
"Myospalax myospalax";"Myospalax myospalax"
"Neopsylla democratica";"Neopsylla democratica"
"Rhadinopsylla ioffi";"Rhadinopsylla ioffi"
"Spermophilus relictus";"Spermophilus relictus"
"Paraneopsylla tiflovi";"Paraneopsylla tiflovi"
"Talpa altaica";"Talpa altaica"
"Sorex asper";"Sorex asper"
"Stenoponia suknevi";"Stenoponia suknevi"
"Blanfordimys afghanus";"Blanfordimys afghanus"
"Nesokia indica";"Nesokia indica"
"Calomyscus mystax";"Calomyscus mystax"
"Microtus transcaspicus";"Microtus transcaspicus"
"Xenopsylla nuttalli";"Xenopsylla nuttalli"
"Coptopsylla olgae";"Coptopsylla olgae"
"Coptopsylla bairamalensis";"Coptopsylla bairamalensis"
"Amphipsylla parthiana";"Amphipsylla parthiana"
"Ophthalmopsylla karakum";"Ophthalmopsylla karakum"
"Peromyscopsylla tikhomirovae";"Peromyscopsylla tikhomirovae"
"Xenopsylla persica";"Xenopsylla persica"
"Nosopsyllus philippovi";"Nosopsyllus philippovi"
"Phaenopsylla kopetdag";"Phaenopsylla kopetdag"
"Paradoxopsyllus microphthalmus";"Paradoxopsyllus microphthalmus"
"Amphipsylla argoi";"Amphipsylla argoi"
"Phaenopsylla tiflovi";"Phaenopsylla tiflovi"
"Alticola barakshin";"Alticola barakshin"
"Cricetulus longicaudatus";"Cricetulus longicaudatus"
"Wagnerina tuvensis";"Wagnerina tuvensis"
"Ophthalmopsylla kukuschkini";"Ophthalmopsylla kukuschkini"
"Spermophilus suslicus";"Spermophilus suslicus"
"Xenopsylla nubica";"Xenopsylla nubica"
"Catallagia fetisovi";"Catallagia fetisovi"
"Ctenophyllus subarmatus";"Ctenophyllus subarmatus"
