"sp_taxon_1";"sp_taxon_2";"value"
"Centurus aurifrons";"Ehretia tinifolia";1
"Centurus aurifrons";"Metopium browneii";1
"Centurus aurifrons";"Ficus padifolia";1
"Centurus aurifrons";"Talisia olivaeformis";1
"Centurus aurifrons";"Neea psychotrioides";1
"Icterus gularis";"Ehretia tinifolia";1
"Icterus gularis";"Metopium browneii";1
"Icterus gularis";"Ficus padifolia";1
"Icterus gularis";"Talisia olivaeformis";1
"Icterus gularis";"Neea psychotrioides";1
"Pteroglossus torguatus";"Ehretia tinifolia";1
"Pteroglossus torguatus";"Metopium browneii";1
"Pteroglossus torguatus";"Ficus padifolia";1
"Pteroglossus torguatus";"Talisia olivaeformis";1
"Pteroglossus torguatus";"Neea psychotrioides";1
"Trogon citreolus";"Ehretia tinifolia";1
"Trogon citreolus";"Metopium browneii";1
"Trogon citreolus";"Ficus padifolia";1
"Trogon citreolus";"Talisia olivaeformis";1
"Trogon citreolus";"Neea psychotrioides";1
"Centurus pygmaeus";"Ehretia tinifolia";1
"Centurus pygmaeus";"Metopium browneii";1
"Centurus pygmaeus";"Ficus padifolia";1
"Centurus pygmaeus";"Talisia olivaeformis";1
"Megarynchus pitangua";"Ehretia tinifolia";1
"Megarynchus pitangua";"Metopium browneii";1
"Megarynchus pitangua";"Ficus padifolia";1
"Megarynchus pitangua";"Neea psychotrioides";1
"Psilorhinus morio";"Ehretia tinifolia";1
"Psilorhinus morio";"Metopium browneii";1
"Psilorhinus morio";"Ficus padifolia";1
"Psilorhinus morio";"Talisia olivaeformis";1
"Ramphastos sulfuratus";"Ehretia tinifolia";1
"Ramphastos sulfuratus";"Metopium browneii";1
"Ramphastos sulfuratus";"Ficus padifolia";1
"Ramphastos sulfuratus";"Neea psychotrioides";1
"Saltator atriceps";"Ehretia tinifolia";1
"Saltator atriceps";"Metopium browneii";1
"Saltator atriceps";"Ficus padifolia";1
"Saltator atriceps";"Talisia olivaeformis";1
"Tityra semifasciata";"Ehretia tinifolia";1
"Tityra semifasciata";"Metopium browneii";1
"Tityra semifasciata";"Ficus padifolia";1
"Tityra semifasciata";"Neea psychotrioides";1
"Amazona albifrons";"Ehretia tinifolia";1
"Amazona albifrons";"Metopium browneii";1
"Amazona albifrons";"Talisia olivaeformis";1
"Aratinga astec";"Ehretia tinifolia";1
"Aratinga astec";"Metopium browneii";1
"Aratinga astec";"Talisia olivaeformis";1
"Cissilopha yucatanica";"Ehretia tinifolia";1
"Cissilopha yucatanica";"Metopium browneii";1
"Cissilopha yucatanica";"Talisia olivaeformis";1
"Cyanocorax yncas";"Ehretia tinifolia";1
"Cyanocorax yncas";"Metopium browneii";1
"Cyanocorax yncas";"Talisia olivaeformis";1
"Dives dives";"Ehretia tinifolia";1
"Dives dives";"Ficus padifolia";1
"Dives dives";"Talisia olivaeformis";1
"Euphonia hirundinacea";"Ehretia tinifolia";1
"Euphonia hirundinacea";"Metopium browneii";1
"Euphonia hirundinacea";"Ficus padifolia";1
"Icterus chrysater";"Ehretia tinifolia";1
"Icterus chrysater";"Metopium browneii";1
"Icterus chrysater";"Talisia olivaeformis";1
"Myiozetetes similis";"Ehretia tinifolia";1
"Myiozetetes similis";"Metopium browneii";1
"Myiozetetes similis";"Ficus padifolia";1
"Tyrannus melancholicus";"Ehretia tinifolia";1
"Tyrannus melancholicus";"Metopium browneii";1
"Tyrannus melancholicus";"Ficus padifolia";1
"Euphonia affinis";"Ficus padifolia";1
"Euphonia affinis";"Neea psychotrioides";1
"Icterus auratus";"Ehretia tinifolia";1
"Icterus auratus";"Talisia olivaeformis";1
"Icterus mesomelas ";"Ehretia tinifolia";1
"Icterus mesomelas ";"Talisia olivaeformis";1
"Icterus prosthemelas";"Ehretia tinifolia";1
"Icterus prosthemelas";"Talisia olivaeformis";1
"Ortalis vetula";"Ehretia tinifolia";1
"Ortalis vetula";"Metopium browneii";1
"Pitangus sulphuratus";"Ehretia tinifolia";1
"Pitangus sulphuratus";"Ficus padifolia";1
"Turdus grayi";"Ehretia tinifolia";1
"Turdus grayi";"Ficus padifolia";1
"Cotinga amabilis";"Ficus padifolia";1
