"sp_taxon_1";"sp_taxon_2";"value"
"Cavendishia melastomoides";"Aulacorhynchus prasinus";"1"
"Dendropanax sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Xylosma flexuosa";"Aulacorhynchus prasinus";"1"
"Prunus anularis";"Aulacorhynchus prasinus";"1"
"Maytenus sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Solanum cordovense";"Aulacorhynchus prasinus";"1"
"Miconia sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Blakea grasilis";"Aulacorhynchus prasinus";"1"
"Ossaea micrantha";"Aulacorhynchus prasinus";"1"
"Beilschmiedia costaricensis";"Aulacorhynchus prasinus";"1"
"Trophis mexicana";"Aulacorhynchus prasinus";"1"
"Guarea tonduzii";"Aulacorhynchus prasinus";"1"
"Ilex lamprophylla";"Aulacorhynchus prasinus";"1"
"Eugenia sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Hieronyma guatemalensis";"Aulacorhynchus prasinus";"1"
"Zanthoxylum culantrillo";"Aulacorhynchus prasinus";"1"
"Nectandra davidsoniana";"Aulacorhynchus prasinus";"1"
"Witheringia solanacea";"Aulacorhynchus prasinus";"1"
"Matayba apetala";"Aulacorhynchus prasinus";"1"
"Palicourea galeottiana";"Aulacorhynchus prasinus";"1"
"Symplocarpon brenesii";"Aulacorhynchus prasinus";"1"
"Trema micrantha";"Aulacorhynchus prasinus";"1"
"Cestrum sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Ocotea sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Ocotea tonduzii";"Aulacorhynchus prasinus";"1"
"Prunus sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Unidentified sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Beilschmiedia sp2 M_SD_019";"Aulacorhynchus prasinus";"1"
"Cestrum racemosum";"Aulacorhynchus prasinus";"1"
"Concostegia xalapensis";"Aulacorhynchus prasinus";"1"
"Gonzalagunia rosea";"Aulacorhynchus prasinus";"1"
"Piper sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Citharexylum macradenium";"Aulacorhynchus prasinus";"1"
"Clibadium sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Clusia alata";"Aulacorhynchus prasinus";"1"
"Concostegia bernouliana";"Aulacorhynchus prasinus";"1"
"Hampea appendiculata";"Aulacorhynchus prasinus";"1"
"Hasseltia floribunda";"Aulacorhynchus prasinus";"1"
"Lycianthes multiflora";"Aulacorhynchus prasinus";"1"
"Nectandra gentlei";"Aulacorhynchus prasinus";"1"
"Symplocos sp2 M_SD_019";"Aulacorhynchus prasinus";"1"
"Xylosma chloranthum";"Aulacorhynchus prasinus";"1"
"Acnistus arborescens";"Aulacorhynchus prasinus";"1"
"Anthurium sp1 M_SD_019";"Aulacorhynchus prasinus";"1"
"Ardisia palmana";"Aulacorhynchus prasinus";"1"
