"name";"bold";"eol";"tsn";"ncbi"
"Campopleginae";"79740";"32461996";NA;"65149"
"Foudia madagascariensis";NA;"11939223";"560112";"441683"
"Hippotion eson";"18318";"13167620";NA;"283869"
"Limonia";"166462";"16281060";"119711";"52743"
"Peribaea";"269238";"15626061";NA;"569069"
"Pycnonotus jocosus";"95549";"12090860";"920043";"182897"
"Spodoptera littoralis";"193949";"12416862";NA;"7109"
"Gaertnera rotundifolia";NA;"9267814";NA;"2184967"
"Warneckea trinervis";NA;"32447030";NA;NA
"Badula platyphylla";NA;"31834189";NA;"1088112"
"Helichrysum proteoides";NA;"32458318";NA;NA
"Ocotea laevigata";NA;"9300414";NA;NA
"Lauxania";"350379";"12177986";"145233";"1086790"
"Phalanta phalantha";"80451";"13281961";NA;"396711"
"Labourdonnaisia calophylloides";NA;"21532829";NA;"1243744"
"Bakerella hoyifolia";NA;"14804061";NA;NA
"Gaertnera";"316120";"11302593";NA;"58897"
"Eugenia orbiculata";"613173";"32447150";NA;"262458"
"Euodia obtusifolia";NA;NA;NA;NA
"Smilax anceps";"306364";"12403615";NA;"989897"
"Pandanus barkleyi";NA;"32367085";NA;"1259894"
"Pyrostria fasciculata";NA;"9318755";NA;NA
"Gaertnera petrinensis";NA;NA;NA;"2184965"
"Nogodinidae";"249133";"14074999";"900998";"130621"
"Sarrothripinae";NA;NA;NA;"753688"
"Diospyros revaughanii";NA;"30754327";"896268";"1367319"
"Tabernaemontana persicariifolia";"417377";"21049317";NA;"761089"
"Turraea rigida";NA;"9341739";NA;NA
"Syzygium coriaceum";NA;"32448303";NA;"1954206"
"Hyperaspis hottentota";NA;NA;NA;NA
"Papilio manliu";NA;NA;NA;NA
"Scolia";"87537";"13357264";"618900";"92419"
"Casearia coriacea";"718188";"25017803";NA;NA
"Calophyllum eputamen";NA;"9233978";NA;NA
"Xylopia lamarckii";NA;"18632906";NA;"2031178"
"Embelia angustifolia";NA;"13879135";NA;NA
"Memecylon ovatifolium";NA;"32447012";NA;"1429024"
"Trirhithrum";"83393";"13153658";"669720";"56959"
"Conocephalus";"104249";"12239928";"102253";"208799"
"Strictopterinae";NA;NA;NA;NA
"Syzygium petrinense";NA;"8196871";NA;"1954165"
"Syzygium commersonii";NA;"9334959";NA;"1954202"
"Tristhema mauritiana";NA;NA;NA;NA
"Xyris";"390184";"11792064";"39099";"75440"
"Anthomyia fasciata";NA;NA;NA;NA
"Thelairodrino";NA;"32466975";NA;NA
"Syzygium mauritianum";NA;"9335335";NA;NA
"Paleorhiza";NA;NA;NA;NA
"Scolia carnifex";NA;NA;NA;NA
"Zizeeria knysa";NA;NA;NA;NA
"Badula insularis";NA;"19457380";NA;"1088108"
"Pandanus rigidifolius";"557566";"31032157";NA;"1259948"
"Syzygium glomeratum";NA;"32448305";NA;NA
"Pleurostylia leucocarpa";"443072";"9312208";NA;"123449"
"Trochetia blackburniana";NA;NA;NA;"857681"
"Hydrotaea fuliginosa";NA;"7049908";NA;NA
"Cixiidae";"160797";"11333629";"109174";"36152"
"Homalanthus populifolius";"464280";"12140591";"845499";"213011"
"Syritta bulbus";"386023";"21033949";NA;"1124546"
"Palexorista";"346610";"7110809";"651302";NA
"Agathidinae";"2209";"20963399";NA;"65186"
"Myonima violacea";"436943";"21068312";NA;"29798"
"Catopsilia florella";"55190";"12400304";NA;"676893"
"Cratopus psittacus";NA;NA;NA;NA
"Cryptocephalinae";"286617";"21521435";"678807";"131688"
"Nitidulidae";"1095";"12122899";"114290";"116151"
"Harungana madagascariensis";"294071";"12414170";NA;"198768"
"Wikstroemia indica";"570950";"13768771";NA;"714517"
"Psathura terniflora";"618368";"32367774";NA;"1419200"
"Thysanoplusia orichalcea";"55831";"12397084";NA;"254426"
"Croton grangerioides";NA;"32370379";"1028140";"1704614"
"Molinaea macrantha";NA;"12021033";NA;NA
"Musca confiscata";"212071";"20960162";NA;"520046"
"Rubus alceifolius";NA;"13018855";NA;"124693"
