"name";"bold";"eol";"tsn";"ncbi"
"Dissolved organic matter";NA;NA;NA;NA
"Zooflagellates";NA;NA;NA;NA
"Medium phytoplankton";NA;NA;NA;NA
"Doliolidae";27268;7635677;159638;76839
"Calanoidae";NA;NA;NA;NA
"Tomopteridae";125419;11172065;65459;397572
"Coelenterata";NA;NA;NA;6073
