"name";"bold";"eol";"tsn";"ncbi"
"Zooplankton";NA;NA;NA;NA
"Juvenile penaeid shrimp";NA;NA;NA;NA
"Mugilidae";1863;11160642;NA;8189
"Benthic invertebrates";NA;NA;NA;NA
"Small fish";NA;NA;NA;NA
"Brachyura";312580;5920543;98276;6752
"Batoidea";NA;NA;733360;117893
"Pogonias cromis";52772;NA;169288;329431
"Sheepshead";NA;NA;647733;NA
"Salmoninae";71162;NA;623286;504568
"Jack";NA;NA;19360;NA
"Sciaenops ocellatus";52779;7224697;169290;76340
"Porpoise shark";NA;NA;NA;NA
"Producers";NA;NA;NA;NA
