"orignial_name";"name_clear"
"Periphyton";"Periphyton"
"Detritus";"Detritus"
"Aquatic macrophytes";"Macrophyte"
"Phytoplankton";"Phytoplankton"
"Benthos";"Benthos"
"Insects";"Insecta"
"Zooplankton";"Zooplankton"
"Trachydoras paraguayensis";"Trachydoras paraguayensis"
"Leporinus friderici";"Leporinus friderici"
"Astyanax altiparanae";"Astyanax altiparanae"
"Serrasalmus marginatus";"Serrasalmus marginatus"
"Other insectivores";"Other insectivores"
"Other omnivores";"Other omnivores"
"Leporinus obtusidens";"Leporinus obtusidens"
"Other benthos feeders";"Other benthos feeders"
"Schizodon borelii";"Schizodon borellii"
"Cyphocharax modesta";"Cyphocharax modesta"
"Iheringichthys labrosus";"Iheringichthys labrosus"
"Auchenipterus nuchalis";"Auchenipterus nuchalis"
"Other detritus feeders";"Other detritus feeders"
"Prochilodus lineatus";"Prochilodus lineatus"
"Pterodoras granulosus";"Pterodoras granulosus"
"Acestrorhyncus lacustris";"Acestrorhynchus lacustris"
"Hoplias malabaricus";"Hoplias malabaricus"
"Parauchenipterus galeatus";"Trachelyopterus galeatus"
"Serrasalmus spilopleura";"Serrasalmus spilopleura"
"Hoplosternum littorale";"Hoplosternum littorale"
"Hemisorubin platyrhynchos";"Hemisorubim platyrhynchos"
"Other piscivores";"Other piscivores"
"Brycon orbignyamus";"Brycon orbignyanus"
"Rhaphiodon vulpinus";"Rhaphiodon vulpinus"
"Hypophthalmus edentatus";"Hypophthalmus edentatus"
"Plagioscion squamosissimus";"Plagioscion squamosissimus"
"Pseudoplatystoma corruscans";"Pseudoplatystoma corruscans"
"P. maculatus";"Polycentropus maculatus"
"Steindachnerina insculpta";"Steindachnerina insculpta"
"Hypostomus spp.";"Hypostomus"
"Loricariichthys platymetopon";"Loricariichthys platymetopon"
"Schizodon altoparanae";"Schizodon altoparanae"
"Salminus brasiliensis";"Salminus brasiliensis"
