"sp_taxon_1";"sp_taxon_2";"value"
"Acmaea";"Ascophyllum";"1"
"Acmaea";"Fucus";"1"
"Acmaea";"Ulva";"1"
"Acmaea";"other algae";"1"
"Crepidula";"Ascophyllum";"1"
"Crepidula";"Fucus";"1"
"Crepidula";"Ulva";"1"
"Crepidula";"other algae";"1"
"Acmaea";"plankton";"1"
"Acmaea";"suspended detritus";"1"
"Crepidula";"plankton";"1"
"Crepidula";"suspended detritus";"1"
"Littorina littorea";"Ascophyllum";"1"
"Littorina littorea";"Fucus";"1"
"Littorina littorea";"Ulva";"1"
"Littorina littorea";"other algae";"1"
"L. obtusata";"Ascophyllum";"1"
"L. obtusata";"Fucus";"1"
"L. obtusata";"Ulva";"1"
"L. obtusata";"other algae";"1"
"L. saxatilis";"Ascophyllum";"1"
"L. saxatilis";"Fucus";"1"
"L. saxatilis";"Ulva";"1"
"L. saxatilis";"other algae";"1"
"Mytilus";"plankton";"1"
"Mytilus";"suspended detritus";"1"
"Balanus";"plankton";"1"
"Balanus";"suspended detritus";"1"
"Sertularia";"plankton";"1"
"Sertularia";"suspended detritus";"1"
"Metridium";"plankton";"1"
"Metridium";"suspended detritus";"1"
"Obelia";"plankton";"1"
"Obelia";"suspended detritus";"1"
"Clava";"plankton";"1"
"Clava";"suspended detritus";"1"
"Spirorbis";"organic debris";"1"
"Anurida";"organic debris";"1"
"Gammarus";"organic debris";"1"
"Orchestia";"organic debris";"1"
"Thais";"Mytilus";"1"
"Thais";"Balanus";"1"
"Asterias";"Mytilus";"1"
"Asterias";"Balanus";"1"
"Carcinides";"organic debris";"1"
"Cancer";"organic debris";"1"
"Carcinides";"Mytilus";"1"
"Carcinides";"Balanus";"1"
"Cancer";"Mytilus";"1"
"Cancer";"Balanus";"1"
"Carcinides";"Sertularia";"1"
"Carcinides";"Metridium";"1"
"Carcinides";"Obelia";"1"
"Carcinides";"Clava";"1"
"Cancer";"Sertularia";"1"
"Cancer";"Metridium";"1"
"Cancer";"Obelia";"1"
"Cancer";"Clava";"1"
"Carcinides";"Spirorbis";"1"
"Cancer";"Spirorbis";"1"
"Carcinides";"Gammarus";"1"
"Carcinides";"Orchestia";"1"
"Cancer";"Gammarus";"1"
"Cancer";"Orchestia";"1"
"Myoxocephalus";"plankton";"1"
"Myoxocephalus";"suspended detritus";"1"
"Tautogolabrus";"plankton";"1"
"Tautogolabrus";"suspended detritus";"1"
"Fundulus";"plankton";"1"
"Fundulus";"suspended detritus";"1"
"Myoxocephalus";"organic debris";"1"
"Tautogolabrus";"organic debris";"1"
"Fundulus";"organic debris";"1"
"Myoxocephalus";"Acmaea";"1"
"Myoxocephalus";"Crepidula";"1"
"Tautogolabrus";"Acmaea";"1"
"Tautogolabrus";"Crepidula";"1"
"Fundulus";"Acmaea";"1"
"Fundulus";"Crepidula";"1"
"Myoxocephalus";"Littorina littorea";"1"
"Myoxocephalus";"L. obtusata";"1"
"Myoxocephalus";"L. saxatilis";"1"
"Tautogolabrus";"Littorina littorea";"1"
"Tautogolabrus";"L. obtusata";"1"
"Tautogolabrus";"L. saxatilis";"1"
"Fundulus";"Littorina littorea";"1"
"Fundulus";"L. obtusata";"1"
"Fundulus";"L. saxatilis";"1"
"Myoxocephalus";"Mytilus";"1"
"Myoxocephalus";"Balanus";"1"
"Tautogolabrus";"Mytilus";"1"
"Tautogolabrus";"Balanus";"1"
"Fundulus";"Mytilus";"1"
"Fundulus";"Balanus";"1"
"Myoxocephalus";"Sertularia";"1"
"Myoxocephalus";"Metridium";"1"
"Myoxocephalus";"Obelia";"1"
"Myoxocephalus";"Clava";"1"
"Tautogolabrus";"Sertularia";"1"
"Tautogolabrus";"Metridium";"1"
"Tautogolabrus";"Obelia";"1"
"Tautogolabrus";"Clava";"1"
"Fundulus";"Sertularia";"1"
"Fundulus";"Metridium";"1"
"Fundulus";"Obelia";"1"
"Fundulus";"Clava";"1"
"Myoxocephalus";"Gammarus";"1"
"Myoxocephalus";"Orchestia";"1"
"Tautogolabrus";"Gammarus";"1"
"Tautogolabrus";"Orchestia";"1"
"Fundulus";"Gammarus";"1"
"Fundulus";"Orchestia";"1"
"Myoxocephalus";"Thais";"1"
"Myoxocephalus";"Asterias";"1"
"Tautogolabrus";"Thais";"1"
"Tautogolabrus";"Asterias";"1"
"Fundulus";"Thais";"1"
"Fundulus";"Asterias";"1"
"Myoxocephalus";"Carcinides";"1"
"Myoxocephalus";"Cancer";"1"
"Tautogolabrus";"Carcinides";"1"
"Tautogolabrus";"Cancer";"1"
"Fundulus";"Carcinides";"1"
"Fundulus";"Cancer";"1"
