"orignial_name";"name_clear"
"floral parts";"Heliconia bihai"
"detritus";"Detritus"
"nectar";"Heliconia bihai"
"Cephaloleia neglecta";"Cephaloleia neglecta"
"Copestuylum roraima";"Copestylum roraima"
"Quichuana augustriventris";"Quichuana augustriventris"
"Gillisius sp. #3";"Gillisius"
