"sp_taxon_1";"sp_taxon_2";"value"
"Andrena carlini";"Hepatica americana";"1"
"Andrena nigrihirta";"Hepatica americana";"27"
"Andrena tridens";"Hepatica americana";"9"
"Nomada sp.";"Hepatica americana";"4"
"Apis mellifera";"Hepatica americana";"4"
"Bombus bimaculatus";"Hepatica americana";"2"
"Dialictus abanci";"Hepatica americana";"5"
"Evylaeus macoupinensis";"Hepatica americana";"5"
"halictid sp.";"Hepatica americana";"1"
"Hylema platura";"Hepatica americana";"8"
"Bombylius major";"Hepatica americana";"20"
"Gonia sp.";"Hepatica americana";"4"
"Andrena carlini";"Erythronium umbilicatum";"4"
"Andrena nigrihirta";"Erythronium umbilicatum";"273"
"Andrena tridens";"Erythronium umbilicatum";"72"
"Nomada perplexa";"Erythronium umbilicatum";"8"
"Nomada sp.";"Erythronium umbilicatum";"1"
"Xylocopa virginica";"Erythronium umbilicatum";"2"
"Apis mellifera";"Erythronium umbilicatum";"52"
"Augochlora pura";"Erythronium umbilicatum";"1"
"Augochorella striata";"Erythronium umbilicatum";"1"
"Dialictus abanci";"Erythronium umbilicatum";"3"
"Osmia conjucta";"Erythronium umbilicatum";"4"
"Osmia lignaria";"Erythronium umbilicatum";"4"
"Osmia sp.";"Erythronium umbilicatum";"7"
"Bombylius major";"Erythronium umbilicatum";"2"
"Andrena carlini";"Sangiunaria canadensis";"2"
"Xylocopa virginica";"Sangiunaria canadensis";"1"
"Apis mellifera";"Sangiunaria canadensis";"21"
"Bombus bimaculatus";"Sangiunaria canadensis";"1"
"Dialictus cressonii";"Sangiunaria canadensis";"1"
"Bombylius major";"Sangiunaria canadensis";"20"
"Toxomerous geminatus";"Sangiunaria canadensis";"1"
"Andrena carlini";"Claytonia virginica";"1"
"Andrena ceanothi";"Claytonia virginica";"1"
"Andrena erigeniae";"Claytonia virginica";"378"
"Andrena imatrix";"Claytonia virginica";"1"
"Andrena nasonii";"Claytonia virginica";"3"
"Andrena nigrihirta";"Claytonia virginica";"13"
"Andrena tridens";"Claytonia virginica";"2"
"Andrena ziziaeformis";"Claytonia virginica";"1"
"Ceratina calcarata";"Claytonia virginica";"3"
"Nomada perplexa";"Claytonia virginica";"6"
"Nomada pygmaea";"Claytonia virginica";"8"
"Nomada sp.";"Claytonia virginica";"32"
"Xylocopa virginica";"Claytonia virginica";"1"
"Apis mellifera";"Claytonia virginica";"4"
"Augochlora pura";"Claytonia virginica";"1"
"Augochorella striata";"Claytonia virginica";"1"
"Dialictus abanci";"Claytonia virginica";"7"
"Dialictus cressonii";"Claytonia virginica";"5"
"Evylaeus macoupinensis";"Claytonia virginica";"4"
"halictid sp.";"Claytonia virginica";"22"
"Osmia conjucta";"Claytonia virginica";"7"
"Osmia lignaria";"Claytonia virginica";"3"
"Osmia sp.";"Claytonia virginica";"4"
"Hylema platura";"Claytonia virginica";"16"
"Bombylius major";"Claytonia virginica";"418"
"Platycheirus obscurus";"Claytonia virginica";"10"
"Toxomerous geminatus";"Claytonia virginica";"4"
"Gonia sp.";"Claytonia virginica";"37"
"Lycaenopsis argiolus";"Claytonia virginica";"2"
"Euchlo lotta";"Claytonia virginica";"5"
"Andrena erigeniae";"Thalictrum thalictroides";"1"
"Ceratina calcarata";"Thalictrum thalictroides";"2"
"Nomada sp.";"Thalictrum thalictroides";"1"
"Dialictus abanci";"Thalictrum thalictroides";"6"
"Evylaeus macoupinensis";"Thalictrum thalictroides";"1"
"halictid sp.";"Thalictrum thalictroides";"9"
"Osmia sp.";"Thalictrum thalictroides";"1"
"Bombylius major";"Thalictrum thalictroides";"130"
"Platycheirus obscurus";"Thalictrum thalictroides";"2"
"Gonia sp.";"Thalictrum thalictroides";"8"
"Andrena arabis";"Cardamine angustata angustata";"2"
"Andrena carlini";"Cardamine angustata angustata";"7"
"Andrena dunningi";"Cardamine angustata angustata";"1"
"Andrena erigeniae";"Cardamine angustata angustata";"2"
"Andrena nasonii";"Cardamine angustata angustata";"2"
"Andrena nigrihirta";"Cardamine angustata angustata";"16"
"Andrena tridens";"Cardamine angustata angustata";"4"
"Nomada perplexa";"Cardamine angustata angustata";"2"
"Nomada pygmaea";"Cardamine angustata angustata";"1"
"Nomada sp.";"Cardamine angustata angustata";"2"
"Xylocopa virginica";"Cardamine angustata angustata";"1"
"Apis mellifera";"Cardamine angustata angustata";"5"
"Bombus bimaculatus";"Cardamine angustata angustata";"5"
"Bombus pennsylvanicus";"Cardamine angustata angustata";"1"
"Augochlora pura";"Cardamine angustata angustata";"3"
"Lassioglossum fuscipenne";"Cardamine angustata angustata";"1"
"Osmia conjucta";"Cardamine angustata angustata";"1"
"Osmia lignaria";"Cardamine angustata angustata";"2"
"Osmia sp.";"Cardamine angustata angustata";"1"
"Bombylius major";"Cardamine angustata angustata";"79"
"Platycheirus obscurus";"Cardamine angustata angustata";"4"
"Gonia sp.";"Cardamine angustata angustata";"2"
"unknown sp.";"Cardamine angustata angustata";"2"
"Euchlo lotta";"Cardamine angustata angustata";"2"
"Andrena carlini";"Stellaria pubera";"2"
"Andrena erigeniae";"Stellaria pubera";"3"
"Andrena nasonii";"Stellaria pubera";"8"
"Andrena nigrihirta";"Stellaria pubera";"6"
"Andrena personata";"Stellaria pubera";"1"
"Ceratina calcarata";"Stellaria pubera";"2"
"Nomada bishopii";"Stellaria pubera";"1"
"Nomada luteola";"Stellaria pubera";"3"
"Nomada perplexa";"Stellaria pubera";"4"
"Nomada pygmaea";"Stellaria pubera";"5"
"Nomada sayi";"Stellaria pubera";"1"
"Nomada sp.";"Stellaria pubera";"44"
"Augochlora pura";"Stellaria pubera";"3"
"Dialictus abanci";"Stellaria pubera";"3"
"Osmia atriventris";"Stellaria pubera";"3"
"Osmia conjucta";"Stellaria pubera";"7"
"Osmia sp.";"Stellaria pubera";"3"
"Bombylius major";"Stellaria pubera";"122"
"Platycheirus obscurus";"Stellaria pubera";"1"
"Toxomerous geminatus";"Stellaria pubera";"3"
"Gonia sp.";"Stellaria pubera";"4"
"Andrena violae";"Viola papilionacea";"4"
"Osmia atriventris";"Viola papilionacea";"3"
"Osmia conjucta";"Viola papilionacea";"2"
"Osmia simillima";"Viola papilionacea";"1"
"Bombylius major";"Viola papilionacea";"17"
"Andrena nigrihirta";"Uvularia sessilifolia";"15"
"Andrena tridens";"Uvularia sessilifolia";"2"
"Andrena ziziaeformis";"Uvularia sessilifolia";"1"
"Dialictus abanci";"Uvularia sessilifolia";"2"
"Evylaeus macoupinensis";"Uvularia sessilifolia";"1"
"Ephemoropsis laboriosa";"Tiarella cordifolia collina";"2"
"Apis mellifera";"Tiarella cordifolia collina";"1"
"Bombus bimaculatus";"Tiarella cordifolia collina";"18"
"Dialictus cressonii";"Tiarella cordifolia collina";"1"
"Evylaeus macoupinensis";"Tiarella cordifolia collina";"1"
"Osmia conjucta";"Tiarella cordifolia collina";"1"
"Bombylius major";"Tiarella cordifolia collina";"8"
"Xylocopa virginica";"Podophyllum peltatum";"1"
"Bombus bimaculatus";"Podophyllum peltatum";"3"
"Andrena carlini";"Trillium catesbei";"1"
"Xylocopa virginica";"Trillium catesbei";"1"
"Bombus bimaculatus";"Trillium catesbei";"2"
"Ephemoropsis laboriosa";"Aesculus sylvatica";"1"
"Bombus bimaculatus";"Aesculus sylvatica";"25"
"Bombus pennsylvanicus";"Aesculus sylvatica";"2"
