"Angelini, R., Agostinho, A.A. (2005). Food web model of the Upper Paran´a River Floodplain: description and aggregation effects. Ecological Modelling. 181, pp. 109-121.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Parana River Floodplain - Brazil,Benthos,Insects,Zooplankton,Hypostomus spp.,P. maculatus,Schizodon borelii,Loricariichthys platymetopon,Prochilodus lineatus,Cyphocharax modesta,Steindachnerina insculpta,Iheringichthys labrosus,Schizodon altoparanae,Hypophthalmus edentatus,Trachydoras paraguayensis,Hoplosternum littorale,Leporinus friderici,Leporinus obtusidens,Parauchenipterus galeatus,Pterodoras granulosus,Astyanax altiparanae,Auchenipterus nuchalis,Brycon orbignyamus,Acestrorhyncus lacustris,Hoplias malabaricus,Plagioscion squamosissimus,Pseudoplatystoma corruscans,Rhaphiodon vulpinus,Serrasalmus marginatus,Hemisorubin platyrhynchos,Salminus brasiliensis,Serrasalmus spilopleura,Other benthos feeders,Other detritus feeders,Other insectivores,Other piscivores,Other omnivores
Acestrorhyncus lacustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0
Hoplias malabaricus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0
Plagioscion squamosissimus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0,0,0,0,0
Pseudoplatystoma corruscans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0
Rhaphiodon vulpinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
Serrasalmus marginatus,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0
Hemisorubin platyrhynchos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Salminus brasiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
Serrasalmus spilopleura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
Other benthos feeders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0,0
Other detritus feeders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0
Other insectivores,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0
Other piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.1,0
Other omnivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0
Detritus,0.5,0.7,0.5,0.8,0.1,0,0.6,0.7,0.55,0.55,0.25,0,0,0.55,0.3,0.2,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0.3,0.7,0,0,0.1
