"original_name";"name_clear"
"Marine POM I";"Marine POM"
"Marine POM II";"Marine POM"
"Microphytobenthos";"Microphytobenthos"
"Marine POM III";"Marine POM"
"Ascophyllum nodosum";"Ascophyllum nodosum"
"Enteromorpha intestinalis";"Ulva intestinalis"
"Fucus vesiculosus";"Fucus vesiculosus"
"Ulva spp.";"Ulva"
"Zostera marina";"Zostera marina"
"Sediment";"Sediment"
"Littorina littorea from rocks";"Littorina littorea"
"Littorina littorea from Z. marina";"Littorina littorea"
"Littorina obtusata";"Littorina obtusata"
"Scrobicularia plana";"Scrobicularia plana"
"Arenicola marina";"Arenicola marina"
"Mytilus galloprovincialis";"Mytilus galloprovincialis"
"Cerastoderma edule";"Cerastoderma edule"
"Nucella lapillus";"Nucella lapillus"
"Palaemon adspersus";"Palaemon adspersus"
"Gammarus sp. ";"Gammarus "
"Gobius niger";"Gobius niger"
"Ruditapes decussatus";"Ruditapes decussatus"
"Symphodus bailloni";"Symphodus bailloni"
"Sepia officinalis <67mm";"Sepia officinalis"
"Sepia officinalis 67-120mm";"Sepia officinalis"
"Sepia officinalis >120mm";"Sepia officinalis"
