"original_name";"name_clear"
"Phytomia zonata ";"Phytomia zonata "
"Pidonia aegrota ";"Pidonia aegrota "
"Pidonia masakii ";"Pidonia masakii "
"Pidonia puziloi ";"Pidonia puziloi "
"Pidonia signata ";"Pidonia signata "
"Pidonia signifera ";"Pidonia signifera "
"Platycheirus ambiguus ";"Platycheirus ambiguus "
"Syrphus sp1 M_PL_056";"Syrphus"
"Tachina politula ";"Tachina politula "
"Unidentified sp104 M_PL_056";"Unidentified"
"Unidentified sp108 M_PL_056";"Unidentified"
"Unidentified sp129 M_PL_056";"Unidentified"
"Unidentified sp15 M_PL_056";"Unidentified"
"Unidentified sp26 M_PL_056";"Unidentified"
"Unidentified sp30 M_PL_056";"Unidentified"
"Unidentified sp42 M_PL_056";"Unidentified"
"Unidentified sp56 M_PL_056";"Unidentified"
"Unidentified sp58 M_PL_056";"Unidentified"
"Unidentified sp63 M_PL_056";"Unidentified"
"Unidentified sp74 M_PL_056";"Unidentified"
"Unidentified sp8 M_PL_056";"Unidentified"
"Unidentified sp82 M_PL_056";"Unidentified"
"Unidentified sp85 M_PL_056";"Unidentified"
"Unidentified sp86 M_PL_056";"Unidentified"
"Unidentified sp89 M_PL_056";"Unidentified"
"Vespula schrenckii ";"Vespula schrenckii "
"Vollucella jeddona ";"Vollucella jeddona "
"Vollucella pellucens ";"Vollucella pellucens "
"Alphostrombocerus komowi ";"Alphostrombocerus komowi "
"Anaria funebris ";"Anaria funebris "
"Andrena aburana ";"Andrena aburana "
"Andrena brenihirtiscopa ";"Andrena brenihirtiscopa "
"Andrena longitibialis";"Andrena longitibialis"
"Andrena parathoracina ";"Andrena parathoracina "
"Andrena yamato ";"Andrena yamato "
"Anthaxia reticulata ";"Anthaxia reticulata "
"Antherophagus nigricornis ";"Antherophagus nigricornis "
"Apis mellifera";"Apis mellifera"
"Argynnis paphia ";"Argynnis paphia "
"Asemum amurense ";"Asemum amurense "
"Biphyllis throscoides ";"Biphyllis throscoides "
"Bombylius major";"Bombylius major"
"Bornbus beaticola ";"Bornbus beaticola "
"Byturus atricollis ";"Byturus atricollis "
"Calliphora sp2 M_PL_056";"Calliphora"
"Catoptria permiaca ";"Catoptria permiaca "
"Cheilosia sp15 M_PL_056";"Cheilosia"
"Cheilosia sp17 M_PL_056";"Cheilosia"
"Cheilosia sp18 M_PL_056";"Cheilosia"
"Cheilosia sp4 M_PL_056";"Cheilosia"
"Cheilosia sp7 M_PL_056";"Cheilosia"
"Chrysocharis sp1 M_PL_056";"Chrysocharis"
"Cosmia variegata ";"Cosmia variegata "
"Criorhina apicalis ";"Criorhina apicalis "
"Dasysyrphus tricinctus";"Dasysyrphus tricinctus"
"Dasytes vulgaris ";"Dasytes vulgaris "
"Didea nikkoensis ";"Didea nikkoensis "
"Dioctria nakanensis ";"Dioctria nakanensis "
"Episyrphus balteatus";"Episyrphus balteatus"
"Forficula mikado ";"Forficula mikado "
"Glyphipterix nigromarginata ";"Glyphipterix nigromarginata "
"Gnorimus subopacus ";"Gnorimus subopacus "
"Gonepteryx aspasia ";"Gonepteryx aspasia "
"Harmonia axyridis ";"Harmonia axyridis "
"Hoshihananomia perlata ";"Hoshihananomia perlata "
"Hylaeus paradifformis ";"Hylaeus paradifformis "
"Hylaeus thoracius ";"Hylaeus thoracius "
"Ischyrosyrphus glaucius ";"Ischyrosyrphus glaucius "
"Ischyrosyrphus laternarius ";"Ischyrosyrphus laternarius "
"Lasiogfossum apristum ";"Lasiogfossum apristum "
"Lasiogfossum laeviventre ";"Lasiogfossum laeviventre "
"Lasiogfossum problematicum ";"Lasiogfossum problematicum "
"Lasioglossum harmandi ";"Lasioglossum harmandi "
"Lasioglossum proximatum";"Lasioglossum proximatum"
"Lasioglossum sp1 M_PL_056";"Lasioglossum"
"Leptura ochraceofasciata ";"Leptura ochraceofasciata "
"Leucozona lucorum";"Leucozona lucorum"
"Libythea celtis ";"Libythea celtis "
"Ligus honshuensis ";"Ligus honshuensis "
"Lucilia sp1 M_PL_056";"Lucilia"
"Macroglossum fringilla ";"Macroglossum fringilla "
"Mallota dimorpha ";"Mallota dimorpha "
"Megachile sp1 M_PL_056";"Megachile"
"Megachile sumizome ";"Megachile sumizome "
"Megachile tsurugensis ";"Megachile tsurugensis "
"Melitaea niphora ";"Melitaea niphora "
"Metasyrphus sp1 M_PL_056";"Metasyrphus"
"Nemophora amurensis ";"Nemophora amurensis "
"Nomada issikii ";"Nomada issikii "
"Nomada sp1 M_PL_056";"Nomada"
"Oedemeronia manicata ";"Oedemeronia manicata "
"Ourapterix persica ";"Ourapterix persica "
"Papilio xuthus ";"Papilio xuthus "
"Papilla japonica ";"Papilla japonica "
"Parnassius gracialis ";"Parnassius gracialis "
"Phyllobius picepes ";"Phyllobius picepes "
"Pidonia semiobscura ";"Pidonia semiobscura "
"Pidonia yokoyamai ";"Pidonia yokoyamai "
"Platyptilia sachalinensis ";"Platyptilia sachalinensis "
"Podabrus malthinoides";"Podabrus malthinoides"
"Psithyrus norvegicus ";"Psithyrus norvegicus "
"Psychostrophia melanorgia ";"Psychostrophia melanorgia "
"Pyrrhata annulicornis ";"Pyrrhata annulicornis "
"Rapala erata ";"Rapala erata "
"Rhingia laevigata ";"Rhingia laevigata "
"Sitarea vibrissata ";"Sitarea vibrissata "
"Sphaerophoria javana ";"Sphaerophoria javana "
"Sphegina sp1 M_PL_056";"Sphegina"
"Stigmus sp1 M_PL_056";"Stigmus"
"Strongylogaster sp1 M_PL_056";"Strongylogaster"
"Tachina luteola ";"Tachina luteola "
"Tenthredo basizonata ";"Tenthredo basizonata "
"Tenthredo japonica ";"Tenthredo japonica "
"Unidentified sp1 M_PL_056";"Unidentified"
"Unidentified sp10 M_PL_056";"Unidentified"
"Unidentified sp100 M_PL_056";"Unidentified"
"Unidentified sp101 M_PL_056";"Unidentified"
"Unidentified sp102 M_PL_056";"Unidentified"
"Unidentified sp103 M_PL_056";"Unidentified"
"Unidentified sp106 M_PL_056";"Unidentified"
"Unidentified sp107 M_PL_056";"Unidentified"
"Unidentified sp109 M_PL_056";"Unidentified"
"Unidentified sp11 M_PL_056";"Unidentified"
"Unidentified sp110 M_PL_056";"Unidentified"
"Unidentified sp111 M_PL_056";"Unidentified"
"Unidentified sp112 M_PL_056";"Unidentified"
"Unidentified sp113 M_PL_056";"Unidentified"
"Unidentified sp114 M_PL_056";"Unidentified"
"Unidentified sp115 M_PL_056";"Unidentified"
"Unidentified sp116 M_PL_056";"Unidentified"
"Unidentified sp117 M_PL_056";"Unidentified"
"Unidentified sp119 M_PL_056";"Unidentified"
"Unidentified sp12 M_PL_056";"Unidentified"
"Unidentified sp120 M_PL_056";"Unidentified"
"Unidentified sp121 M_PL_056";"Unidentified"
"Unidentified sp122 M_PL_056";"Unidentified"
"Unidentified sp123 M_PL_056";"Unidentified"
"Unidentified sp124 M_PL_056";"Unidentified"
"Unidentified sp125 M_PL_056";"Unidentified"
"Unidentified sp126 M_PL_056";"Unidentified"
"Unidentified sp127 M_PL_056";"Unidentified"
"Unidentified sp128 M_PL_056";"Unidentified"
"Unidentified sp13 M_PL_056";"Unidentified"
"Unidentified sp130 M_PL_056";"Unidentified"
"Unidentified sp131 M_PL_056";"Unidentified"
"Unidentified sp132 M_PL_056";"Unidentified"
"Unidentified sp133 M_PL_056";"Unidentified"
"Unidentified sp134 M_PL_056";"Unidentified"
"Unidentified sp135 M_PL_056";"Unidentified"
"Unidentified sp136 M_PL_056";"Unidentified"
"Unidentified sp137 M_PL_056";"Unidentified"
"Unidentified sp138 M_PL_056";"Unidentified"
"Unidentified sp139 M_PL_056";"Unidentified"
"Unidentified sp14 M_PL_056";"Unidentified"
"Unidentified sp140 M_PL_056";"Unidentified"
"Unidentified sp141 M_PL_056";"Unidentified"
"Unidentified sp142 M_PL_056";"Unidentified"
"Unidentified sp143 M_PL_056";"Unidentified"
"Unidentified sp144 M_PL_056";"Unidentified"
"Unidentified sp145 M_PL_056";"Unidentified"
"Unidentified sp146 M_PL_056";"Unidentified"
"Unidentified sp147 M_PL_056";"Unidentified"
"Unidentified sp148 M_PL_056";"Unidentified"
"Unidentified sp149 M_PL_056";"Unidentified"
"Unidentified sp150 M_PL_056";"Unidentified"
"Unidentified sp151 M_PL_056";"Unidentified"
"Unidentified sp152 M_PL_056";"Unidentified"
"Unidentified sp153 M_PL_056";"Unidentified"
"Unidentified sp154 M_PL_056";"Unidentified"
"Unidentified sp155 M_PL_056";"Unidentified"
"Unidentified sp156 M_PL_056";"Unidentified"
"Unidentified sp16 M_PL_056";"Unidentified"
"Unidentified sp17 M_PL_056";"Unidentified"
