"name";"bold";"eol";"tsn";"ncbi"
"Organic debris";NA;NA;NA;NA
"Plankton";NA;NA;1861;NA
"Water plant";NA;NA;38897;NA
"Marsh plants";NA;NA;NA;NA
"Crangon";5537;NA;93940;98082
"Alestiidae";NA;NA;638805;61319
"Omphiscola glabra";106297;NA;NA;161078
"Bivalvia";70;NA;79118;6544
"Billfish";NA;NA;768116;NA
"Anguilliformes";248;NA;161123;7933
"Tetraodontidae";1228;NA;173283;31031
"Cyprinidae";1144;NA;163342;7953
"Cyprinidae";1144;NA;163342;7953
"Pleuronectiformes";240;NA;172702;8252
"Gryllidae";1877;NA;657464;6995
"Culicidae";1730;NA;125930;7157
"Sterninae";NA;NA;773214;NA
"Pandionidae";112602;NA;175588;NA
"Butorides virescens";10064;NA;824525;110671
"Mergus";3214;NA;175186;8877
"Phalacrocoracidae";1451;NA;174713;9206
"Laridae";1425;NA;176802;8910
"Alcedinidae";1489;NA;178104;8937
"Agelaius phoeniceus";9709;NA;179049;39638
