"R.A. Beaver. (1985). Geographical variation in food web structure in Nepenthes pitcher plants. Ecological Entomology, 10, pp. 241-248.",,,,,,,,,,,,,,,,
Pitcher plant fauna (N. albomarginata) W. Malaysia,Misumenops nepenthicola,Encyrtid (near Tachinaephagus),Toxorhynchites klossi,Lestodiplosis syringopais,Megaselia sp. (?nepenthina),Endonepenthia schuitemakeri,Tripteroides tenax,T. bambusa,Dasyhelea nepenthicola,Nepenthosyrphus sp.,Pierretia urceola,Culex curtipalpis,C. lucaris,Anoetidae sp. 1,Anoetidae sp. 2,bacteria/protozoa
Lestodiplosis syringopais,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megaselia sp. (?nepenthina),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Endonepenthia schuitemakeri,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tripteroides tenax,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T. bambusa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasyhelea nepenthicola,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Culex curtipalpis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C. lucaris,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bacteria/protozoa,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0
live insects,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recently drowned insects,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
older organic debris,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
