"Ruzicka, J.J., Brodeur, R.D., Emmett, R.L., Steele, J.H., Zamon, J.E., Morgan, C.A., Thomas, A.C., and Wainwright, T.C. (2012). Interannual variability in the Northern California Current food web structure: Changes in energy flow pathways and the role of forage fish, euphausiids, and jellyfish. Progress in Oceanography. 102, pp. 19-41.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Californian Current food web - 2006,MZ: micro-zooplankton,"Z1ai: copepods (large, >= 0.025mg C)","Z1aii: copepods (small, < 0.025mg C)",Z1b: small invertebrate larvae,Z1d: pteropods,Z2a: pelagic amphipods,"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",Z2c: other macro-zooplankton ,Z2e: small jellyfish ,Z2f: large jellyfish ,Z3a: E. pacifica (adult & juveniles) ,Z3b: T. spinifera (adult & juveniles) ,C: cephalopod aggregate,PlnkF1a: smelt aggregate,PlnkF1b: shad,PlnkF1c: sardine,PlnkF1d: herring,PlnkF1e: anchovy,PlnkF1f: saury,PlnkF2a: coho yearling,PlnkF2bi: Chinook subyearling,PlnkF2bii: Chinook yearling,PlnkF2c: other juvenile salmon,PlnkF3: mesopelagic fish aggregate,PlnkF4: planktivorous rockfish,PiscF1a: coho,PiscF1b: Chinook,PiscF1c: other salmon aggregate,PiscF2: shark aggregate,PiscF3a: jack mackerel,PiscF3b: Pacific mackerel,PiscF4: piscivorous rockfish,PiscF5: dogfish aggregate,PiscF6: hake,PiscF7: sablefish,"PiscF8: Hexagrammidae (lingcod, greenling)",PiscF9: flatfish (water-column feeders),BnthF1: skates & rays,BnthF2: misc. small benthic fishes,BnthF3: benthivorous rockfish,"BnthF4: Gadidae (cod, haddock, pollock)",BnthF5: flatfish (benthic feeders),BnthF6: flatfish (small),BnthF7: grenadier,JuvF1: juvenile rockfish,JuvF2: juvenile fish (other),DepB1: infauna,DepB2a: Pandalus spp.,DepB2b: other epibenthic shrimp (Caridea),DepB3: mysids,DepB4: echinoderms,"DepB5: benthic amphipods, isopods, and cumaceans",SspB2: bivalves,SspB3: misc. epifauna (suspension feeders),CrnB1: Dungeness crab,CrnB2: Tanner crab,CrnB3: misc. epifauna (carnivorous),SB1: sooty shearwaters,SB2: common murre,SB3: gulls & terns,SB4: alcids,SB5: large pelagic seabirds,SB6: other pelagic seabirds,SB7: coastal seabirds (divers),SB8: storm-petrels,PlnkMM1: gray whales,PlnkMM2: baleen whales,PiscMM1: small pinnipeds,PiscMM2: large pinnipeds,PiscMM4: toothed whales
P1: large phytoplankton,0.2650307,0.4638037,0.397546,0.397546,0.3644172,0.2738429,0.03379141,0.2012908,0.3478528,0,0.4041718,0.3047853,0,0,0,0.2918,0.24,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929,0,0,0,0,0.06625767,0,0.01325153,0.006625767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2: small phytoplankton,0.1349693,0.2361963,0.202454,0.202454,0.1855828,0.1394571,0.01720859,0.1025092,0.1771472,0,0.2058282,0.1552147,0,0,0,0.0101,0.01,0.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103,0,0,0,0,0.03374233,0,0.006748466,0.003374233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ: micro-zooplankton,0,0.3,0.4,0.4,0.15,0.2583583,0.03075209,0.151857,0.25,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z1ai: copepods (large, >= 0.025mg C)",0,0,0,0,0.02678446,0.02718622,0.04843204,0.04061672,0.01100076,0.04331429,0.006217821,0.006217821,0.01147905,0.02540697,0.04142025,0.01788819,0.007748361,0.007337028,0.01324874,0,0.001,0,0.1016,0.008791042,0.005758658,0,0,0.0161185,0,0.000191318,0.007939678,9.56588E-05,0,0,0,0,0,0,0,0.002324508,0.001961005,0.001920758,0.007710097,0,0.05700307,0.06602369,0,0.01052247,0,0.01387052,0,0,0,0.000478294,0,0,0,0,0,0,0.1519757,0,0.01,0,0.2082195,0,0.000956588,0,0,0
"Z1aii: copepods (small, < 0.025mg C)",0,0,0,0,0.1928502,0.1957429,0.3487144,0.2924435,0.07920632,0.3118663,0.04476879,0.04476879,0.08265007,0.1829322,0.298229,0.1287964,0.0557888,0.05282717,0.09539195,0.001,0.003,0.001,0.0339,0.06329618,0.04146279,0,0,0.1160545,0,0.001377501,0.0571663,0.000688751,0,0,0,0,0,0,0,0.01673664,0.01411939,0.0138296,0.0555133,0,0.4104265,0.4753757,0,0.07576256,0,0.09986883,0,0,0,0.003443753,0,0,0,0,0,0,0,0,0,0,0,0,0.006887506,0,0,0
Z1b: small invertebrate larvae,0,0,0,0,0.06036538,0.06127086,0.1091535,0.09153979,0.02479292,0.09761944,0.01401339,0.01401339,0.02587088,0.05726087,0.09335075,0.04031545,0.01746284,0.0165358,0.0298593,0,0.017,0.004006326,0.07001516,0.01981278,0.01297856,0,0,0.03632702,0,0.000431181,0.01789402,0.000215591,0,0,0,0,0,0,0,0.005238853,0.004419608,0.004328901,0.01737661,0,0.1284705,0.1488007,0,0.02371497,0,0.03126064,0,0,0,0.001077953,0,0,0,0,0,0,0,0,0.005,0,0.02602743,0,0.002155906,0,0,0
Z1d: pteropods,0,0,0,0,0,0,0.02269337,0.004495032,0,0.02345708,0,0,0.06480701,0.06284317,0,0.007724472,0.009164628,0.002334798,0.01715095,0,0,0,0,0.02020582,0.02223513,0.004097038,0.005,0.03938608,0,0.009906527,0.003382184,0,0.001134668,0,0.002596645,0,0.000218205,0,0,0.001112848,0.000670545,0,0.000921349,0,0.0371822,0.007113497,0,0.008728217,0,0.006546163,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Z2a: pelagic amphipods,0,0,0,0,0,0,0.03360096,0.006655574,0,0.03473176,0,0,0.09595657,0.0930488,0.008,0.01143725,0.01356962,0.003457021,0.02539457,0.001,0.035,0.008,0.01129277,0.02991777,0.03292247,0,0,0.05831704,0,0.01466811,0.005007835,0,0.001680048,0,0.003844725,0,0.000323086,0,0,0.001647739,0.000992844,0,0.001364197,0,0.05505387,0.01053261,0,0.01292344,0,0.009692583,0,0,0,0,0,0,0,0.015,0.005,0.005,0.0152,0.0121,0.015,0,0.03123292,0,0.01,0,0,0
"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",0,0,0,0,0,0,0.005,0.0051,0,0,0,0,0.01501503,0.1021,0,0.0604,0.032,0.0284,0.0543,0,0,0,0,0,0.2218,0.0584,0.01,0.0132,0.004596438,0.1008,0.0104,0.001,0.0103,0,0,0,0,0,0,0.0655,0,0,0.005,0,0.105,0.031,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.01,0.005,0.0152,0.011,0.02,0.01,0.0312,0,0.03,0,0,0
Z2c: other macro-zooplankton ,0,0,0,0,0,0,0.04770568,0.009449394,0,0.04931116,0,0,0.1362364,0.132108,0.002,0.01623828,0.01926575,0.004908181,0.03605448,0.15,0.117,0.1022,0.1038935,0.0424764,0.04674239,0.05531002,0.01,0.08279688,0.005,0.02082536,0.007109981,0.09,0.002385284,0.0101,0.005458631,0,0.000458708,0,0,0.002339413,0.001409611,0,0.001936848,0,0.07816392,0.0149539,0,0.01834834,0,0.01376125,0,0,0,0,0,0,0,0.04,0.015,0.01,0.0314,0.0251,0.05,0.02,0.1093152,0.12,0.05,0,0,0
