"Ruzicka, J.J., Brodeur, R.D., Emmett, R.L., Steele, J.H., Zamon, J.E., Morgan, C.A., Thomas, A.C., and Wainwright, T.C. (2012). Interannual variability in the Northern California Current food web structure: Changes in energy flow pathways and the role of forage fish, euphausiids, and jellyfish. Progress in Oceanography. 102, pp. 19-41.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Californian Current food web - 2007,MZ: micro-zooplankton,"Z1ai: copepods (large, >= 0.025mg C)","Z1aii: copepods (small, < 0.025mg C)",Z1b: small invertebrate larvae,Z1d: pteropods,Z2a: pelagic amphipods,"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",Z2c: other macro-zooplankton ,Z2e: small jellyfish ,Z2f: large jellyfish ,Z3a: E. pacifica (adult & juveniles) ,Z3b: T. spinifera (adult & juveniles) ,C: cephalopod aggregate,PlnkF1a: smelt aggregate,PlnkF1b: shad,PlnkF1c: sardine,PlnkF1d: herring,PlnkF1e: anchovy,PlnkF1f: saury,PlnkF2a: coho yearling,PlnkF2bi: Chinook subyearling,PlnkF2bii: Chinook yearling,PlnkF2c: other juvenile salmon,PlnkF3: mesopelagic fish aggregate,PlnkF4: planktivorous rockfish,PiscF1a: coho,PiscF1b: Chinook,PiscF1c: other salmon aggregate,PiscF2: shark aggregate,PiscF3a: jack mackerel,PiscF3b: Pacific mackerel,PiscF4: piscivorous rockfish,PiscF5: dogfish aggregate,PiscF6: hake,PiscF7: sablefish,"PiscF8: Hexagrammidae (lingcod, greenling)",PiscF9: flatfish (water-column feeders),BnthF1: skates & rays,BnthF2: misc. small benthic fishes,BnthF3: benthivorous rockfish,"BnthF4: Gadidae (cod, haddock, pollock)",BnthF5: flatfish (benthic feeders),BnthF6: flatfish (small),BnthF7: grenadier,JuvF1: juvenile rockfish,JuvF2: juvenile fish (other),DepB1: infauna,DepB2a: Pandalus spp.,DepB2b: other epibenthic shrimp (Caridea),DepB3: mysids,DepB4: echinoderms,"DepB5: benthic amphipods, isopods, and cumaceans",SspB2: bivalves,SspB3: misc. epifauna (suspension feeders),CrnB1: Dungeness crab,CrnB2: Tanner crab,CrnB3: misc. epifauna (carnivorous),SB1: sooty shearwaters,SB2: common murre,SB3: gulls & terns,SB4: alcids,SB5: large pelagic seabirds,SB6: other pelagic seabirds,SB7: coastal seabirds (divers),SB8: storm-petrels,PlnkMM1: gray whales,PlnkMM2: baleen whales,PiscMM1: small pinnipeds,PiscMM2: large pinnipeds,PiscMM4: toothed whales
P1: large phytoplankton,0.265,0.4638,0.3975,0.3975,0.3644,0.2738,0.0338,0.2013,0.3479,0,0.4042,0.3048,0,0,0,0.2918,0.24,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929,0,0,0,0,0.0663,0,0.0133,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2: small phytoplankton,0.135,0.2362,0.2025,0.2025,0.1856,0.1395,0.0172,0.1025,0.1771,0,0.2058,0.1552,0,0,0,0.0101,0.01,0.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103,0,0,0,0,0.0337,0,0.0067,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ: micro-zooplankton,0,0.3,0.4,0.4,0.15,0.2584,0.0308,0.1519,0.25,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z1ai: copepods (large, >= 0.025mg C)",0,0,0,0,0.0371,0.0377,0.0748,0.0563,0.0152,0.068,0.0086,0.0086,0.04,0.0286,0.0574,0.0267,0.0068,0.0075,0.0144,0,0.001,0,0.1016,0.0082,0.004,0,0,0.0198,0,0.0003,0.011,0.0001,0,0,0,0,0,0,0,0.0019,0.0027,0.0027,0.0094,0,0.0723,0.0848,0,0.0146,0,0.0192,0,0,0,0.0007,0,0,0,0,0,0,0.152,0,0.01,0,0.2082,0,0.0013,0,0,0
"Z1aii: copepods (small, < 0.025mg C)",0,0,0,0,0.1617,0.1642,0.3258,0.2452,0.0664,0.2963,0.0375,0.0375,0.1745,0.1245,0.25,0.1163,0.0294,0.0328,0.0627,0.001,0.003,0.001,0.0339,0.0357,0.0174,0,0,0.0988,0,0.0012,0.0479,0.0006,0,0,0,0,0,0,0,0.0082,0.0118,0.0116,0.0408,0,0.3152,0.3697,0,0.0635,0,0.0837,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0.0058,0,0,0
Z1b: small invertebrate larvae,0,0,0,0,0.0812,0.0825,0.1637,0.1232,0.0334,0.1489,0.0189,0.0189,0.0877,0.0625,0.1256,0.0584,0.0148,0.0165,0.0315,0,0.017,0.004,0.07,0.018,0.0088,0,0,0,0,0.0006,0.0241,0.0003,0,0,0,0,0,0,0,0.0041,0.0059,0.0058,0.0205,0,0.1584,0.1857,0,0.0319,0,0.0421,0,0,0,0.0015,0,0,0,0,0,0,0,0,0.005,0,0.026,0,0.0029,0,0,0
Z1d: pteropods,0,0,0,0,0,0,0.0031,0.0014,0,0.0032,0,0,0.0078,0.023,0.0007,0.0014,0.0049,0.0021,0.0074,0,0,0,0,0.0122,0,0.0041,0.005,0.0066,0,0.0031,0.0011,0,0.0004,0,0.0008,0.0001,0.0009,0,0,0,0.0002,0,0.001,0,0.015,0.0056,0,0.0027,0,0.002,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Z2a: pelagic amphipods,0,0,0,0,0,0,0.0267,0.0121,0,0.0275,0,0,0.0669,0.1969,0.0058,0.0122,0.0419,0.0178,0.0633,0.001,0.035,0.008,0.0113,0.1072,0.001,0,0,0.2107,0,0.0264,0.0091,0,0.003,0,0.0069,0.0006,0.0076,0,0,0.0101,0.0018,0,0.0082,0,0.1284,0.0481,0,0.0233,0,0.0175,0,0,0,0,0,0,0,0.015,0.005,0.005,0.0152,0.0121,0.015,0,0.0312,0,0.01,0,0,0
"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",0,0,0,0,0,0,0.0051,0.0051,0,0,0,0,0.0185,0.1021,0,0.0604,0.032,0.0284,0.0543,0,0,0,0,0,0.2218,0.0584,0.01,0.0132,0.0189,0.1008,0.0104,0.006,0.0103,0.005,0,0.0001,0.01,0,0,0.0655,0,0,0.005,0,0.105,0.031,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.01,0.005,0.0152,0.011,0.02,0.01,0.0312,0,0.03,0,0,0
Z2c: other macro-zooplankton ,0,0,0,0,0,0,0.016,0.0073,0,0.0165,0,0,0.0401,0.1181,0.0035,0.0073,0.0252,0.0107,0.038,0.15,0.117,0.1022,0.1039,0.0033,0.131,0.0553,0.01,0.0132,0.005,0.0159,0.0055,0.09,0.0018,0.0101,0.0042,0.0003,0.0045,0,0,0.005,0.0011,0,0.0049,0,0.077,0.0289,0,0.014,0,0.0105,0,0,0,0,0,0,0,0.04,0.015,0.01,0.0314,0.0251,0.05,0.02,0.1093,0.12,0.05,0,0,0
