"Ruzicka, J.J., Brodeur, R.D., Emmett, R.L., Steele, J.H., Zamon, J.E., Morgan, C.A., Thomas, A.C., and Wainwright, T.C. (2012). Interannual variability in the Northern California Current food web structure: Changes in energy flow pathways and the role of forage fish, euphausiids, and jellyfish. Progress in Oceanography. 102, pp. 19-41.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Californian Current food web - 2005,MZ: micro-zooplankton,"Z1ai: copepods (large, >= 0.025mg C)","Z1aii: copepods (small, < 0.025mg C)",Z1b: small invertebrate larvae,Z1d: pteropods,Z2a: pelagic amphipods,"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",Z2c: other macro-zooplankton ,Z2e: small jellyfish ,Z2f: large jellyfish ,Z3a: E. pacifica (adult & juveniles) ,Z3b: T. spinifera (adult & juveniles) ,C: cephalopod aggregate,PlnkF1a: smelt aggregate,PlnkF1b: shad,PlnkF1c: sardine,PlnkF1d: herring,PlnkF1e: anchovy,PlnkF1f: saury,PlnkF2a: coho yearling,PlnkF2bi: Chinook subyearling,PlnkF2bii: Chinook yearling,PlnkF2c: other juvenile salmon,PlnkF3: mesopelagic fish aggregate,PlnkF4: planktivorous rockfish,PiscF1a: coho,PiscF1b: Chinook,PiscF1c: other salmon aggregate,PiscF2: shark aggregate,PiscF3a: jack mackerel,PiscF3b: Pacific mackerel,PiscF4: piscivorous rockfish,PiscF5: dogfish aggregate,PiscF6: hake,PiscF7: sablefish,"PiscF8: Hexagrammidae (lingcod, greenling)",PiscF9: flatfish (water-column feeders),BnthF1: skates & rays,BnthF2: misc. small benthic fishes,BnthF3: benthivorous rockfish,"BnthF4: Gadidae (cod, haddock, pollock)",BnthF5: flatfish (benthic feeders),BnthF6: flatfish (small),BnthF7: grenadier,JuvF1: juvenile rockfish,JuvF2: juvenile fish (other),DepB1: infauna,DepB2a: Pandalus spp.,DepB2b: other epibenthic shrimp (Caridea),DepB3: mysids,DepB4: echinoderms,"DepB5: benthic amphipods, isopods, and cumaceans",SspB2: bivalves,SspB3: misc. epifauna (suspension feeders),CrnB1: Dungeness crab,CrnB2: Tanner crab,CrnB3: misc. epifauna (carnivorous),SB1: sooty shearwaters,SB2: common murre,SB3: gulls & terns,SB4: alcids,SB5: large pelagic seabirds,SB6: other pelagic seabirds,SB7: coastal seabirds (divers),SB8: storm-petrels,PlnkMM1: gray whales,PlnkMM2: baleen whales,PiscMM1: small pinnipeds,PiscMM2: large pinnipeds,PiscMM4: toothed whales
P1: large phytoplankton,0.265,0.4638,0.3975,0.3975,0.3644,0.2738,0.0338,0.2013,0.3479,0,0.4042,0.3048,0,0,0,0.2918,0.24,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929,0,0,0,0,0.0663,0,0.0133,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2: small phytoplankton,0.135,0.2362,0.2025,0.2025,0.1856,0.1395,0.0172,0.1025,0.1771,0,0.2058,0.1552,0,0,0,0.0101,0.01,0.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103,0,0,0,0,0.0337,0,0.0067,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ: micro-zooplankton,0,0.3,0.4,0.4,0.15,0.2584,0.0308,0.1519,0.25,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z1ai: copepods (large, >= 0.025mg C)",0,0,0,0,0.015,0.0152,0.0308,0.0222,0.0061,0.028,0.0035,0.0035,0.016,0.0137,0.0231,0.0111,0.0054,0.0041,0.0079,0,0.001,0,0.1016,0.0033,0.0016,0,0,0.0198,0,0.0001,0.0044,0.0003,0,0,0,0,0,0,0,0.0008,0.0011,0.0011,0.0038,0,0.0367,0.0374,0,0.0059,0,0.0091,0,0,0,0.0003,0,0,0,0,0,0,0.152,0,0.01,0,0.2082,0,0.0005,0,0,0
"Z1aii: copepods (small, < 0.025mg C)",0,0,0,0,0.1629,0.1654,0.3352,0.2411,0.0669,0.3042,0.0378,0.0378,0.1745,0.1487,0.2519,0.1204,0.0588,0.0446,0.0864,0.001,0.003,0.001,0.0339,0.036,0.0176,0,0,0.0988,0,0.0012,0.0483,0.0029,0,0,0,0,0,0,0,0.0082,0.0119,0.0117,0.0411,0,0.3989,0.4073,0,0.064,0,0.0988,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0.0058,0,0,0
Z1b: small invertebrate larvae,0,0,0,0,0.1022,0.1037,0.2103,0.1512,0.042,0.1908,0.0237,0.0237,0.1095,0.0933,0.158,0.0755,0.0368,0.028,0.0542,0,0.017,0.004,0.07,0.0226,0.011,0,0,0,0,0.0007,0.0303,0.0018,0,0,0,0,0,0,0,0.0051,0.0075,0.0073,0.0258,0,0.2502,0.2555,0,0.0401,0,0.062,0,0,0,0.0018,0,0,0,0,0,0,0,0,0.005,0,0.026,0,0.0036,0,0,0
Z1d: pteropods,0,0,0,0,0,0,0.0096,0.0087,0,0.0105,0,0,0.016,0.0838,0.0028,0.0043,0.0062,0.003,0.0193,0,0,0,0,0.0122,0,0.0041,0.005,0.0066,0,0.0128,0.0044,0,0.0015,0,0.0033,0.0003,0.0003,0,0,0,0.0009,0,0.004,0,0.0226,0.0064,0,0.0112,0,0.0014,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Z2a: pelagic amphipods,0,0,0,0,0,0,0.0153,0.0138,0,0.0168,0,0,0.0256,0.1339,0.0045,0.0069,0.0099,0.0048,0.0308,0.001,0.035,0.008,0.0113,0.1072,0.001,0,0,0.2107,0,0.0204,0.007,0,0.0023,0,0.0053,0.0004,0.0004,0,0,0.0101,0.0014,0,0.0063,0,0.0362,0.0102,0,0.018,0,0.0022,0,0,0,0,0,0,0,0.015,0.005,0.005,0.0152,0.0121,0.015,0,0.0312,0,0.01,0,0,0
"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",0,0,0,0,0,0,0.005,0.0051,0,0,0,0,0.0223,0.1021,0,0.0604,0.032,0.0284,0.0543,0,0,0,0,0,0.2218,0.0584,0.01,0.0132,0.0189,0.1008,0.0104,0.001,0.0103,0.005,0,0.0001,0.002,0,0,0.0655,0,0,0.005,0,0.105,0.031,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.01,0.005,0.0152,0.011,0.02,0.01,0.0312,0,0.03,0,0,0
Z2c: other macro-zooplankton ,0,0,0,0,0,0,0.0092,0.0083,0,0.0101,0,0,0.0154,0.0803,0.0027,0.0042,0.0059,0.0029,0.0185,0.15,0.117,0.1022,0.1039,0.0033,0.101,0.0553,0.01,0.0132,0.005,0.0122,0.0042,0.05,0.0014,0.005,0.0032,0.0003,0.0003,0,0,0.005,0.0008,0,0.0038,0,0.0217,0.0061,0,0.0108,0,0.0013,0,0,0,0,0,0,0,0.04,0.015,0.01,0.0314,0.0251,0.05,0.02,0.1093,0.12,0.05,0,0,0
