"K.W. Cummins, W.P. Coffman, and P.A. Roff. (1966). Trophic relationships in a small woodland stream. Verh. Internat. Verein. Limnol. 16, pp. 627-638.",,,,,,,,,,,,,,,,,
Linesville Creek - Pennysylvania,Centroptilum - Stenonema - Chimarra - Tipula sp. 1,Habrophleboides - Prosimulium,Corynoneura - Psychomyia,Polypedilum,Ephemera,Agapetus - Psilotreta - Stenelmis - Isonychia - Geora - Antocha - Helicopsyche - Psephenus,Eukiefferiella,Pycnopsyche - Tipula sp. 2,Brillia - Microtendipes,Tanytorsus,Hydropsyche,Cottus,Phasganophora - Nigronia,Antherix - Eucalia,Cyrnellus,Chenmatopsyche,Pentaneura
diatoms,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0
detritus,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
Centroptilum - Stenonema - Chimarra - Tipula sp. 1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Habrophleboides - Prosimulium,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Corynoneura - Psychomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Polypedilum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Eukiefferiella,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pycnopsyche - Tipula sp. 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tanytorsus,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
