"taxon";"name";"value"
"microbes";"body size";NA
"fungi";"body size";NA
"carrion";"body size";NA
"dung";"body size";NA
"algae";"body size";NA
"litter";"body size";NA
"moss";"body size";NA
"Anthriscus sylvestris";"body size";NA
"Carum carvi";"body size";NA
"Daucus carota";"body size";NA
"Heracleum sphondylium";"body size";NA
"Pastinaca sativa";"body size";NA
"Pimpinella major";"body size";NA
"Achillea millefolium";"body size";NA
"Bellis perennis";"body size";NA
"Centaurea jacea";"body size";NA
"Cirsium oleraceum";"body size";NA
"Crepis biennis";"body size";NA
"Leontodon autumnalis";"body size";NA
"Leontodon hispidus";"body size";NA
"Leucanthemum vulgare";"body size";NA
"Taraxacum officinale";"body size";NA
"Tragopogon pratensis";"body size";NA
"Campanula patula";"body size";NA
"Cardamine pratensis";"body size";NA
"Rumex acetosa";"body size";NA
"Knautia arvensis";"body size";NA
"Primula veris";"body size";NA
"Lathyrus pratensis";"body size";NA
"Lotus corniculatus";"body size";NA
"Medicago lupulina";"body size";NA
"Medicago x";"body size";NA
"Onobrychis viciifolia";"body size";NA
"Trifolium campestre";"body size";NA
"Trifolium dubium";"body size";NA
"Trifolium fragiferum";"body size";NA
"Trifolium hybridum";"body size";NA
"Trifolium pratense";"body size";NA
"Trifolium repens";"body size";NA
"Vicia cracca";"body size";NA
"Galium album";"body size";NA
"Geranium pratense";"body size";NA
"Ajuga reptans";"body size";NA
"Glechoma hederacea";"body size";NA
"Prunella vulgaris";"body size";NA
"Plantago lanceolata";"body size";NA
"Plantago media";"body size";NA
"Veronica chamaedrys";"body size";NA
"Ranunculus acris";"body size";NA
"Ranunculus repens";"body size";NA
"Sanguisorba officinalis";"body size";NA
"Luzula campestris";"body size";NA
"Alopecurus pratensis";"body size";NA
"Anthoxanthum odoratum";"body size";NA
"Arrhenatherum elatius";"body size";NA
"Avenula pubescens";"body size";NA
"Bromus erectus";"body size";NA
"Bromus hordeaceus";"body size";NA
"Cynosurus cristatus";"body size";NA
"Dactylis glomerata";"body size";NA
"Festuca pratensis";"body size";NA
"Festuca rubra";"body size";NA
"Holcus lanatus";"body size";NA
"Phleum pratense";"body size";NA
"Poa pratensis";"body size";NA
"Poa trivialis";"body size";NA
"Trisetum flavescens";"body size";NA
"Discus ruderatus";"body size";6,25
"Geophilus flavus";"body size";30
"Geophilus longicornis";"body size";45
"Blaniulus guttulatus";"body size";12
"Boreoiulus tenuis";"body size";16
"Cylindroiulus caeruleocinctus";"body size";26,5
