"original_name";"name_clear"
"Dicymbium nigrum";"Dicymbium nigrum"
"Diplocephalus cristatus";"Diplocephalus cristatus"
"Diplocephalus picinus";"Diplocephalus picinus"
"Diplostyla concolor";"Diplostyla concolor"
"Erigone atra";"Erigone atra"
"Erigone dentipalpis";"Erigone dentipalpis"
"Latithorax faustus";"Latithorax faustus"
"Leptorhoptrum robustum";"Leptorhoptrum robustum"
"Meioneta rurestris";"Meioneta rurestris"
"Mermessus trilobatus";"Mermessus trilobatus"
"Micrargus herbigradus";"Micrargus herbigradus"
"Oedothorax apicatus";"Oedothorax apicatus"
"Oedothorax fuscus";"Oedothorax fuscus"
"Oedothorax retusus";"Oedothorax retusus"
"Pocadicnemis juncea";"Pocadicnemis juncea"
"Porrhomma errans";"Porrhomma errans"
"Porrhomma microphthalmum";"Porrhomma microphthalmum"
"Porrhomma microps";"Porrhomma microps"
"Tenuiphantes tenuis";"Tenuiphantes tenuis"
"Tiso vagans";"Tiso vagans"
"Walckenaeria atrotibialis";"Walckenaeria atrotibialis"
"Walckenaeria vigilax";"Walckenaeria vigilax"
"Phrurolithus festivus";"Phrurolithus festivus"
"Aulonia albimana";"Aulonia albimana"
"Pardosa hortensis";"Pardosa hortensis"
"Pardosa lugubris";"Pardosa lugubris"
"Pardosa palustris";"Pardosa palustris"
"Pardosa prativaga";"Pardosa prativaga"
"Pardosa pullata";"Pardosa pullata"
"Pirata latitans";"Pirata latitans"
"Xerolycosa miniata";"Xerolycosa miniata"
"Bianor aurocinctus";"Bianor aurocinctus"
"Euophrys frontalis";"Euophrys frontalis"
"Synageles venator";"Synageles venator"
"Talavera aequipes";"Talavera aequipes"
"Pachygnatha clercki";"Pachygnatha clercki"
"Pachygnatha degeeri";"Pachygnatha degeeri"
"Cryptachaea riparia";"Cryptachaea riparia"
"Enoplognatha ovata";"Enoplognatha ovata"
"Enoplognatha thoracica";"Enoplognatha thoracica"
"Robertus arundineti";"Robertus arundineti"
"Robertus lividus";"Robertus lividus"
"Robertus neglectus";"Robertus neglectus"
"Phylloneta impressa";"Phylloneta impressa"
"Ozyptila claveata";"Ozyptila claveata"
"Ozyptila simplex";"Ozyptila simplex"
"Xysticus acerbus";"Xysticus acerbus"
"Xysticus cristatus";"Xysticus cristatus"
"Xysticus kochi";"Xysticus kochi"
"Zora spinimana";"Zora spinimana"
"Hahnia nava";"Hahnia nava"
"Araeoncus humilis";"Araeoncus humilis"
"Asthenargus paganus";"Asthenargus paganus"
"Bathyphantes gracilis";"Bathyphantes gracilis"
"Diplocephalus latifrons";"Diplocephalus latifrons"
